checklist8_order,part,species_num,scientific_name,japanese_name,order,family,ebird_matched,ebird_sciname,ebird_common_name,ebird_species_code,birdnet_matched,birdnet_sciname,birdnet_common_name_en,birdnet_common_name_ja
4,A,1,Dendrocygna javanica,リュウキュウガモ,ANSERIFORMES,ANATIDAE,True,Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,True,Dendrocygna javanica,Lesser Whistling-Duck,リュウキュウガモ
6,A,2,Branta bernicla,コクガン,ANSERIFORMES,ANATIDAE,True,Branta bernicla,Brant,brant,True,Branta bernicla,Brent Goose,コクガン
8,A,3,Branta ruficollis,アオガン,ANSERIFORMES,ANATIDAE,True,Branta ruficollis,Red-breasted Goose,rebgoo1,False,,,
9,A,4,Branta canadensis,カナダガン,ANSERIFORMES,ANATIDAE,True,Branta canadensis,Canada Goose,cangoo,True,Branta canadensis,Canada Goose,カナダガン
11,A,5,Branta hutchinsii,シジュウカラガン,ANSERIFORMES,ANATIDAE,True,Branta hutchinsii,Cackling Goose,cacgoo1,True,Branta hutchinsii,Cackling Goose,シジュウカラガン
16,A,6,Anser indicus,インドガン,ANSERIFORMES,ANATIDAE,True,Anser indicus,Bar-headed Goose,bahgoo,True,Anser indicus,Bar-headed Goose,インドガン
17,A,7,Anser canagicus,ミカドガン,ANSERIFORMES,ANATIDAE,True,Anser canagicus,Emperor Goose,empgoo,True,Anser canagicus,Emperor Goose,ミカドガン
18,A,8,Anser caerulescens,ハクガン,ANSERIFORMES,ANATIDAE,True,Anser caerulescens,Snow Goose,snogoo,True,Anser caerulescens,Snow Goose,ハクガン
20,A,9,Anser anser,ハイイロガン,ANSERIFORMES,ANATIDAE,True,Anser anser,Graylag Goose,gragoo,True,Anser anser,Greylag Goose,ハイイロガン
22,A,10,Anser cygnoid,サカツラガン,ANSERIFORMES,ANATIDAE,True,Anser cygnoides,Swan Goose,swagoo1,True,Anser cygnoides,Swan Goose,サカツラガン
23,A,11,Anser fabalis,ヒシクイ,ANSERIFORMES,ANATIDAE,True,Anser fabalis,Taiga Bean-Goose,taibeg1,True,Anser fabalis,Taiga Bean Goose,オオヒシクイ
27,A,12,Anser albifrons,マガン,ANSERIFORMES,ANATIDAE,True,Anser albifrons,Greater White-fronted Goose,gwfgoo,True,Anser albifrons,Greater White-fronted Goose,マガン
30,A,13,Anser erythropus,カリガネ,ANSERIFORMES,ANATIDAE,True,Anser erythropus,Lesser White-fronted Goose,lwfgoo,True,Anser erythropus,Lesser White-fronted Goose,カリガネ
32,A,14,Cygnus olor,コブハクチョウ,ANSERIFORMES,ANATIDAE,True,Cygnus olor,Mute Swan,mutswa,True,Cygnus olor,Mute Swan,コブハクチョウ
33,A,15,Cygnus buccinator,ナキハクチョウ,ANSERIFORMES,ANATIDAE,True,Cygnus buccinator,Trumpeter Swan,truswa,True,Cygnus buccinator,Trumpeter Swan,ナキハクチョウ
34,A,16,Cygnus columbianus,コハクチョウ,ANSERIFORMES,ANATIDAE,True,Cygnus columbianus,Tundra Swan,tunswa,True,Cygnus columbianus,Bewick's Swan,コハクチョウ
37,A,17,Cygnus cygnus,オオハクチョウ,ANSERIFORMES,ANATIDAE,True,Cygnus cygnus,Whooper Swan,whoswa,True,Cygnus cygnus,Whooper Swan,オオハクチョウ
39,A,18,Tadorna tadorna,ツクシガモ,ANSERIFORMES,ANATIDAE,True,Tadorna tadorna,Common Shelduck,comshe,True,Tadorna tadorna,Common Shelduck,ツクシガモ
40,A,19,Tadorna ferruginea,アカツクシガモ,ANSERIFORMES,ANATIDAE,True,Tadorna ferruginea,Ruddy Shelduck,rudshe,True,Tadorna ferruginea,Ruddy Shelduck,アカツクシガモ
41,A,20,Tadorna cristata,カンムリツクシガモ,ANSERIFORMES,ANATIDAE,True,Tadorna cristata,Crested Shelduck,creshe1,False,,,
43,A,21,Aix galericulata,オシドリ,ANSERIFORMES,ANATIDAE,True,Aix galericulata,Mandarin Duck,manduc,True,Aix galericulata,Mandarin Duck,オシドリ
