









Frequency of observations in the selected location(s).:
Number of taxa: 	873

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	7974.0	7446.0	7435.0	10424.0	7847.0	8618.0	6833.0	7027.0	6110.0	5719.0	5769.0	7772.0	6149.0	6511.0	7131.0	8361.0	7133.0	7262.0	6857.0	8881.0	5751.0	5288.0	4860.0	5451.0	4139.0	3722.0	3615.0	4934.0	3436.0	3569.0	3606.0	5261.0	4204.0	3994.0	4214.0	6120.0	4871.0	6198.0	5754.0	8487.0	7148.0	5884.0	6060.0	7761.0	5611.0	5270.0	5354.0	9282.0	

リュウキュウガモ (<em class="sci">Dendrocygna javanica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ハクガン (<em class="sci">Anser caerulescens</em>)	6.27E-4	0.0012087	0.001345	6.715E-4	7.646E-4	0.0011604	4.39E-4	5.692E-4	1.637E-4	5.246E-4	3.467E-4	3.86E-4	0.0015	6.143E-4	7.012E-4	4.784E-4	1.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.212E-4	9.681E-4	0.0017379	0.0021209	0.0033576	0.0032291	0.0031353	0.0041232	0.0028515	0.002277	0.0013074	0.0018315	
ハイイロガン (<em class="sci">Anser anser</em>)	3.762E-4	2.686E-4	4.035E-4	2.878E-4	8.921E-4	2.321E-4	2.927E-4	1.423E-4	1.637E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.196E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.053E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.865E-4	7.129E-4	7.59E-4	0.0	6.464E-4	
サカツラガン (<em class="sci">Anser cygnoides</em>)	0.0010033	0.0038947	0.002959	0.0015349	0.0022939	0.0013924	4.39E-4	1.423E-4	0.0	0.0	1.733E-4	0.0015	1.626E-4	0.0	0.0	0.0	1.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.178E-4	0.0015	0.0	1.65E-4	2.577E-4	0.0015	0.001518	0.001681	0.002047	
雑種 ハイイロガン x サカツラガン (<em class="sci">Anser anser x cygnoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
マガン (<em class="sci">Anser albifrons</em>)	0.0105342	0.0135643	0.0110289	0.0090177	0.013126	0.0102112	0.0073174	0.0098193	0.00491	0.0057702	0.0041602	0.006948	0.0040657	0.0055291	0.0082737	0.0050233	0.0026637	0.0011016	8.75E-4	2.252E-4	6.955E-4	3.782E-4	2.058E-4	0.0	9.664E-4	5.373E-4	0.0	0.0	0.0	0.0	5.546E-4	0.0015	0.0011893	7.511E-4	0.0014238	0.0109477	0.0108807	0.0153275	0.0123392	0.0126075	0.0159485	0.0147859	0.0193069	0.0202294	0.0156835	0.0108159	0.0069107	0.0122818	
雑種 ハクガン ｘ マガン (<em class="sci">Anser caerulescens x albifrons</em>)	0.0	0.0	0.0	0.0	0.0	1.16E-4	0.0	0.0	0.0	1.749E-4	0.0	1.287E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.288E-4	0.0	0.0	1.868E-4	1.077E-4	
カリガネ (<em class="sci">Anser erythropus</em>)	0.0017557	0.0028203	0.002152	0.0010553	0.0014018	0.0011604	7.317E-4	4.269E-4	1.637E-4	0.0	0.0	1.287E-4	0.0	1.536E-4	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	8.212E-4	4.84E-4	5.214E-4	8.248E-4	0.0016788	0.0030591	0.0024752	0.0036078	0.0037426	0.002277	0.0020545	0.0026934	
