ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
brebul1,Hypsipetes amaurotis,ヒヨドリ,Brown-eared Bulbul,0.5111802770833331,0.6408625,48.0,resident
eutspa,Passer montanus,スズメ,Eurasian Tree Sparrow,0.4390073104166666,0.5340512,48.0,resident
labcro1,Corvus macrorhynchos,ハシブトガラス,Large-billed Crow,0.42049534583333337,0.4688084,48.0,resident
carcro1,Corvus corone,ハシボソガラス,Carrion Crow,0.33823260208333344,0.3670153,48.0,resident
ortdov,Streptopelia orientalis,キジバト,Oriental Turtle-Dove,0.33818809375,0.4191287,48.0,resident
cintit13,Parus cinereus,シジュウカラ,Asian Tit,0.332087725,0.3970279,48.0,resident
spbduc,Anas zonorhyncha,カルガモ,Eastern Spot-billed Duck,0.3241578812500001,0.3973435,48.0,resident
whiwag,Motacilla alba,ハクセキレイ,White Wagtail,0.3175390270833333,0.4382995,48.0,resident
graher1,Ardea cinerea,アオサギ,Gray Heron,0.30869661666666665,0.3910774,48.0,resident
grecor,Phalacrocorax carbo,カワウ,Great Cormorant,0.2743359541666666,0.3530565,48.0,resident
rocpig,Columba livia,カワラバト（ドバト）,Rock Pigeon,0.26214716250000003,0.3048121,48.0,resident
whcsta1,Spodiopsar cineraceus,ムクドリ,White-cheeked Starling,0.2557513145833333,0.364087,48.0,resident
warwhe1,Zosterops japonicus,メジロ,Warbling White-eye,0.23966501666666673,0.3382242,48.0,resident
warwhe1,Zosterops japonicus,メジロ,Warbling White-eye,0.23966501666666673,0.3382242,48.0,resident
blakit1,Milvus migrans,トビ,Black Kite,0.2051017791666667,0.2555856,48.0,resident
greegr,Ardea alba,ダイサギ,Great Egret,0.20390646250000002,0.3163265,48.0,resident
origre,Chloris sinica,カワラヒワ,Oriental Greenfinch,0.1929800979166667,0.2914622,48.0,resident
jabwar,Horornis diphone,ウグイス,Japanese Bush Warbler,0.18870848124999998,0.3319781,48.0,resident
litegr,Egretta garzetta,コサギ,Little Egret,0.18644294166666667,0.2520171,48.0,resident
barswa,Hirundo rustica,ツバメ,Barn Swallow,0.17716173750000005,0.4079656,48.0,summer
pygwoo1,Yungipicus kizuki,コゲラ,Japanese Pygmy Woodpecker,0.16300080625,0.2080471,48.0,resident
eurcoo,Fulica atra,オオバン,Eurasian Coot,0.16190530833333336,0.343245,48.0,winter
mallar3,Anas platyrhynchos,マガモ,Mallard,0.15625033125,0.3006895,48.0,resident
litgre1,Tachybaptus ruficollis,カイツブリ,Little Grebe,0.14833146041666667,0.2256082,48.0,resident
gnwtea,Anas crecca,コガモ,Green-winged Teal,0.14436620833333336,0.2832957,48.0,winter
buhshr1,Lanius bucephalus,モズ,Bull-headed Shrike,0.13749191249999995,0.2959019,48.0,resident
comkin1,Alcedo atthis,カワセミ,Common Kingfisher,0.12646443124999998,0.1826988,48.0,resident
dusthr2,Turdus eunomus,ツグミ,Dusky Thrush,0.12468135000000007,0.35146,41.0,winter
eurwig,Mareca penelope,ヒドリガモ,Eurasian Wigeon,0.12014052708333332,0.2510273,48.0,winter
vartit1,Sittiparus varius,ヤマガラ,Varied Tit,0.11820464375000002,0.1479041,48.0,resident
japwag1,Motacilla grandis,セグロセキレイ,Japanese Wagtail,0.11777620833333334,0.1794697,48.0,resident
meabun1,Emberiza cioides,ホオジロ,Meadow Bunting,0.11517433333333336,0.1727184,48.0,resident
lottit1,Aegithalos caudatus,エナガ,Long-tailed Tit,0.10563568333333336,0.1724776,48.0,resident
bkfbun2,Emberiza personata,アオジ,Masked Bunting,0.10041285000000004,0.1902433,48.0,resident
daured1,Phoenicurus auroreus,ジョウビタキ,Daurian Redstart,0.09647374166666668,0.2631505,48.0,winter
comsan,Actitis hypoleucos,イソシギ,Common Sandpiper,0.08723135625,0.1598478,48.0,resident
burthr,Monticola solitarius,イソヒヨドリ,Blue Rock-Thrush,0.08673437708333333,0.1629945,48.0,resident
grywag,Motacilla cinerea,キセキレイ,Gray Wagtail,0.07836755000000001,0.1356889,48.0,resident
tufduc,Aythya fuligula,キンクロハジロ,Tufted Duck,0.07630232083333331,0.1696833,48.0,winter
bktgul,Larus crassirostris,ウミネコ,Black-tailed Gull,0.0730928875,0.1347754,48.0,resident
compoc,Aythya ferina,ホシハジロ,Common Pochard,0.0694781958333333,0.1824804,48.0,winter
palthr1,Turdus pallidus,シロハラ,Pale Thrush,0.06334467083333334,0.1771873,37.0,winter
norsho,Spatula clypeata,ハシビロガモ,Northern Shoveler,0.06081215416666666,0.1459633,48.0,winter
norpin,Anas acuta,オナガガモ,Northern Pintail,0.05942763541666667,0.1399549,48.0,winter
