ebird_species_code,japanese_name,scientific_name,priority_tier,downloaded_total,ml_available,total_with_ml,still_needed_for_50,still_needed_for_100
stepet,ヒメシロハラミズナギドリ,Pterodroma longirostris,P1,0,1,1,49,99
shtalb,アホウドリ,Phoebastria albatrus,P1,0,3,3,47,97
solpet1,ハジロミズナギドリ,Pterodroma solandri,P1,2,1,3,47,97
whwsco1,ビロードキンクロ,Melanitta stejnegeri,P1,3,1,4,46,96
horpuf,ツノメドリ,Fratercula corniculata,P1,1,3,4,46,96
sibnee1,クロビタイハリオアマツバメ,Hirundapus cochinchinensis,P1,1,4,5,45,95
amawoo1,アマミヤマシギ,Scolopax mira,P1,2,3,5,45,95
dalpel1,ハイイロペリカン,Pelecanus crispus,P1,2,3,5,45,95
piehar1,マダラチュウヒ,Circus melanoleucos,P1,1,4,5,45,95
bugnod,ハイイロアジサシ,Anous ceruleus,P1,2,4,6,44,94
japmur1,カンムリウミスズメ,Synthliboramphus wumizusume,P1,1,5,6,44,94
lesfri,コグンカンドリ,Fregata ariel,P1,0,6,6,44,94
tufpuf,エトピリカ,Fratercula cirrhata,P1,0,7,7,43,93
gybter1,ナンヨウマミジロアジサシ,Onychoprion lunatus,P1,2,6,8,42,92
oristo1,コウノトリ,Ciconia boyciana,P1,4,4,8,42,92
janher1,ミゾゴイ,Gorsachius goisagi,P1,5,3,8,42,92
spbpel1,ホシバシペリカン,Pelecanus philippensis,P1,4,4,8,42,92
towshe2,ハワイセグロミズナギドリ,Puffinus newelli,P1,0,9,9,41,91
swspet,ヒメクロウミツバメ,Hydrobates monorhis,P1,7,3,10,40,90
kerpet,カワリシロハラミズナギドリ,Pterodroma neglecta,P1,4,6,10,40,90
chrshe,コミズナギドリ,Puffinus nativitatis,P1,8,2,10,40,90
grebus1,ノガン,Otis tarda,P1,8,3,11,39,89
jufpet,オオシロハラミズナギドリ,Pterodroma externa,P1,2,9,11,39,89
bulshe,ミナミオナガミズナギドリ,Ardenna bulleri,P1,4,7,11,39,89
whwsco2,アメリカビロードキンクロ,Melanitta deglandi,P1,1,11,12,38,88
ftspet,ハイイロウミツバメ,Hydrobates furcatus,P1,3,9,12,38,88
steeid,コケワタガモ,Polysticta stelleri,P1,5,8,13,37,87
norgre1,カラフトアオアシシギ,Tringa guttifer,P1,6,7,13,37,87
ivogul,ゾウゲカモメ,Pagophila eburnea,P1,9,4,13,37,87
