ebird_species_code,japanese_name,scientific_name,ebird_common_name,residence_status,priority_tier,frequency_annual_mean,frequency_max,n_periods_detected,recordings_total,recordings_japan,recordings_downloadable,ml_available,ml_japan_available,recordings_with_ml,priority_score
falduc,ヨシガモ,Mareca falcata,Falcated Duck,winter,P1,0.0275400187499999,0.0703734,47.0,21.0,2.0,16.0,5.0,2.0,21.0,0.006088126794223308
strshe,オオミズナギドリ,Calonectris leucomelas,Streaked Shearwater,resident,P1,0.0133885562499999,0.0329138,47.0,16.0,9.0,3.0,13.0,9.0,16.0,0.0032107426980986487
pelcor,ヒメウ,Urile pelagicus,Pelagic Cormorant,resident,P1,0.0141227833333333,0.0510887,48.0,37.0,1.0,6.0,31.0,0.0,37.0,0.0026720356840455204
chcsta1,コムクドリ,Agropsar philippensis,Chestnut-cheeked Starling,summer,P1,0.0134922166666666,0.0570587,35.0,36.0,29.0,7.0,29.0,27.0,36.0,0.002570960942601373
pacreh1,クロサギ,Egretta sacra,Pacific Reef-Heron,resident,P1,0.0100098104166666,0.0180255,48.0,17.0,1.0,10.0,7.0,0.0,17.0,0.0023563985931935407
blfspo1,クロツラヘラサギ,Platalea minor,Black-faced Spoonbill,resident,P1,0.0104066833333333,0.027263,48.0,25.0,5.0,1.0,24.0,4.0,25.0,0.002188628716998724
easmah1,チュウヒ,Circus spilonotus,Eastern Marsh Harrier,resident,P1,0.008881175,0.0243291,48.0,18.0,1.0,6.0,12.0,1.0,18.0,0.002054910402259124
baitea,トモエガモ,Sibirionetta formosa,Baikal Teal,winter,P1,0.0077653208333333,0.0294118,36.0,14.0,0.0,8.0,6.0,0.0,14.0,0.001941330208333325
stseag,オオワシ,Haliaeetus pelagicus,Steller's Sea-Eagle,winter,P1,0.0099667874999999,0.0550733,33.0,43.0,16.0,14.0,29.0,12.0,43.0,0.0018148314103050066
whwsco1,ビロードキンクロ,Melanitta stejnegeri,Stejneger's Scoter,winter,P1,0.0034142187499999,0.0156539,46.0,5.0,0.0,4.0,1.0,0.0,5.0,0.001216169257108932
oristo1,コウノトリ,Ciconia boyciana,Oriental Stork,resident,P1,0.0038411416666666,0.0080314,48.0,8.0,2.0,4.0,4.0,2.0,8.0,0.001156298859261384
saugul2,ズグロカモメ,Saundersilarus saundersi,Saunders's Gull,winter,P1,0.0048364770833333,0.0154445,44.0,36.0,23.0,6.0,30.0,17.0,36.0,0.0009215975393988817
shtalb,アホウドリ,Phoebastria albatrus,Short-tailed Albatross,passage,P1,0.00209250625,0.0141635,41.0,3.0,0.0,0.0,3.0,0.0,3.0,0.000901193389497063
grekno,オバシギ,Calidris tenuirostris,Great Knot,summer,P1,0.00434508125,0.0264208,34.0,27.0,1.0,6.0,21.0,0.0,27.0,0.000894421212095725
rhiauk,ウトウ,Cerorhinca monocerata,Rhinoceros Auklet,summer,P1,0.0038054458333333,0.0184316,47.0,18.0,1.0,2.0,16.0,0.0,18.0,0.0008804972571929096
japacc1,カヤクグリ,Prunella rubida,Japanese Accentor,resident,P1,0.0042527458333333,0.0099517,48.0,33.0,33.0,6.0,27.0,27.0,33.0,0.0008291111680295354
bulpet,アナドリ,Bulweria bulwerii,Bulwer's Petrel,summer,P1,0.0030020375,0.0231059,31.0,18.0,0.0,9.0,9.0,0.0,18.0,0.0006946060725885905
crekin1,ヤマセミ,Megaceryle lugubris,Crested Kingfisher,resident,P1,0.0033813104166666,0.0093923,48.0,46.0,3.0,19.0,27.0,3.0,46.0,0.0006054311763471983
japmur1,カンムリウミスズメ,Synthliboramphus wumizusume,Japanese Murrelet,resident,P1,0.0017562479166666,0.0053274,43.0,7.0,6.0,2.0,5.0,5.0,7.0,0.0005540345326364217
whtnee,ハリオアマツバメ,Hirundapus caudacutus,White-throated Needletail,summer,P1,0.0023394395833333,0.008868,31.0,25.0,2.0,10.0,15.0,0.0,25.0,0.0004920073466025974
copphe1,ヤマドリ,Syrmaticus soemmerringii,Copper Pheasant,resident,P1,0.0020765979166666,0.0046277,48.0,18.0,18.0,10.0,8.0,8.0,18.0,0.0004804795154095964
blfowl1,シマフクロウ,Ketupa blakistoni,Blakiston's Fish-Owl,resident,P1,0.0022499208333333,0.0086808,48.0,33.0,0.0,0.0,33.0,0.0,33.0,0.0004386423650051127
