species_code,scientific_name,recording_id,safe_id,focal_channel,channel_scores,species_score,birdnet_conf,bout_snr,bout_ndsi,bout_quality,rank_score,bout_idx,bout_onset,bout_offset,bout_duration,n_notes,total_note_dur,silence_ratio,notes_json,method
spbduc,Anas zonorhyncha,xc:414280,xc_414280,1,[],1.0,0.0,34.81,0.9998,0.9993,0.999317,54,68.89,69.06,0.17,1,0.17,0.0,"[[68.89, 69.06]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:414280,xc_414280,1,[],1.0,0.0,32.12,0.9994,0.9984,0.998394,56,70.57,72.14,1.57,5,0.95,0.3949,"[[70.57, 70.6], [70.73, 70.94], [71.06, 71.38], [71.55, 71.8], [72.0, 72.14]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:414280,xc_414280,1,[],1.0,0.0,30.3,0.9998,0.9976,0.997644,55,69.83,70.0,0.17,1,0.17,0.0,"[[69.83, 70.0]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:803918,xc_803918,1,[],1.0,0.0,25.28,0.9957,0.9878,0.987751,25,46.42,49.27,2.85,8,1.78,0.3754,"[[46.42, 46.51], [46.8, 46.92], [47.06, 47.33], [47.43, 47.62], [47.85, 47.96], [48.04, 48.11], [48.23, 48.27], [48.38, 49.27]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:628892133,ml_628892133,1,[],1.0,0.0,24.16,0.999,0.9854,0.985431,45,58.12,59.0,0.88,2,0.67,0.2386,"[[58.12, 58.27], [58.48, 59.0]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:628892133,ml_628892133,1,[],1.0,0.0,23.4,0.9987,0.9817,0.981716,51,73.2,74.11,0.91,2,0.74,0.1868,"[[73.2, 73.36], [73.53, 74.11]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:803918,xc_803918,1,[],1.0,0.0,22.82,0.9983,0.9782,0.978238,23,39.93,41.43,1.5,4,0.93,0.38,"[[39.93, 40.01], [40.09, 40.14], [40.25, 40.43], [40.81, 41.43]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:628892133,ml_628892133,1,[],1.0,0.0,23.08,0.9948,0.9781,0.978076,46,60.98,61.92,0.94,2,0.71,0.2447,"[[60.98, 61.12], [61.35, 61.92]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,xc:841268,xc_841268,0,[],1.0,0.0,22.56,0.9997,0.9773,0.977303,16,27.74,30.27,2.53,4,1.85,0.2688,"[[27.74, 27.83], [28.19, 28.23], [28.5, 29.09], [29.14, 30.27]]",bird-mixit+tweetynet
spbduc,Anas zonorhyncha,ml:648792937,ml_648792937,1,[],1.0,0.0,26.55,0.9636,0.975,0.975025,5,6.09,6.19,0.1,1,0.1,0.0,"[[6.09, 6.19]]",bird-mixit+tweetynet
