species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
azwmag2,xc:464622,213,56,1.404,0.25,78.64,117.36
azwmag2,xc:194379,14,3,2.393,2.14,7.18,9.49
azwmag2,xc:790248,14,9,0.646,0.58,5.81,16.65
azwmag2,xc:716117,65,36,0.571,0.135,20.56,71.91
azwmag2,xc:720180,17,9,0.834,1.0,7.51,15.51
barswa,xc:578054,12,5,2.436,2.2,12.18,16.64
barswa,xc:747403,72,23,0.789,0.15,18.15,36.46
barswa,xc:1042324,55,9,1.543,0.52,13.89,23.32
barswa,xc:677842,76,14,1.259,0.435,17.63,24.38
barswa,xc:142731,30,10,4.297,3.555,42.97,48.59
bkfbun2,ml:620881189,21,15,0.648,0.04,9.72,36.44
bkfbun2,ml:618704340,56,10,2.897,3.24,28.97,33.7
bkfbun2,ml:634320120,75,14,2.08,1.335,29.12,39.61
bkfbun2,ml:637612944,67,14,1.021,0.07,14.29,23.29
bkfbun2,ml:624172439,91,80,0.082,0.05,6.59,45.17
bkhgul,xc:580794,89,33,2.448,1.81,80.8,128.68
bkhgul,xc:752720,158,17,2.475,2.22,42.08,49.48
bkhgul,xc:1065402,22,3,2.933,3.22,8.8,10.67
bkhgul,xc:1050112,23,5,1.34,0.21,6.7,9.27
bkhgul,xc:525320,10,8,0.908,1.01,7.26,17.05
bktgul,xc:627390,82,39,0.628,0.26,24.5,60.01
bktgul,xc:903942,7,2,2.285,2.285,4.57,5.71
bktgul,xc:1016634,70,7,3.409,2.22,23.86,27.3
bktgul,xc:344933,34,23,0.43,0.39,9.9,38.72
bktgul,xc:344932,10,7,0.497,0.5,3.48,12.0
blakit1,xc:493737,169,45,1.576,0.95,70.9,99.77
blakit1,xc:507829,8,1,4.13,4.13,4.13,4.15
blakit1,xc:628280,11,6,1.12,0.68,6.72,13.51
blakit1,xc:1026906,117,45,1.211,0.17,54.51,91.85
blakit1,xc:896543,4,1,2.02,2.02,2.02,2.57
brebul1,xc:155867,85,22,1.584,1.235,34.85,44.57
brebul1,xc:551619,20,6,2.562,1.55,15.37,19.64
brebul1,xc:466085,4,2,1.69,1.69,3.38,4.98
brebul1,xc:200439,210,56,2.11,1.525,118.14,158.67
brebul1,xc:784921,25,8,1.64,0.705,13.12,19.53
buhshr1,xc:194695,18,1,7.77,7.77,7.77,7.78
buhshr1,xc:88961,8,4,0.878,0.83,3.51,7.1
buhshr1,xc:793926,14,11,1.698,1.38,18.68,34.88
buhshr1,xc:842854,47,15,2.258,1.8,33.87,42.2
buhshr1,xc:505447,6,2,1.95,1.95,3.9,8.02
burthr,xc:134325,157,51,1.899,0.48,96.86,137.33
burthr,xc:1023727,164,23,2.774,2.25,63.81,83.75
burthr,xc:697948,18,4,2.587,2.96,10.35,13.51
burthr,xc:921485,6,2,1.405,1.405,2.81,5.52
burthr,xc:472199,172,21,3.534,3.39,74.22,83.49
carcro1,xc:785592,35,5,3.336,3.28,16.68,18.91
carcro1,xc:511980,45,8,1.598,0.34,12.78,18.37
carcro1,xc:688118,28,11,1.829,0.55,20.12,31.09
carcro1,xc:745101,242,96,0.86,0.305,82.54,205.56
carcro1,xc:635134,7,1,3.17,3.17,3.17,3.46
cintit13,xc:1030710,26,12,1.091,0.785,13.09,24.27
cintit13,xc:582929,91,32,1.867,1.12,59.74,87.01
cintit13,xc:531958,25,12,1.075,1.17,12.9,24.1
cintit13,xc:319792,44,13,1.547,1.5,20.11,31.74
cintit13,xc:166690,48,4,3.252,3.225,13.01,14.41
comkin1,xc:462875,53,15,1.25,0.45,18.75,25.94
comkin1,xc:502269,43,10,1.394,0.63,13.94,22.52
comkin1,xc:931189,8,2,2.865,2.865,5.73,7.23
comkin1,xc:800955,50,11,1.945,0.48,21.39,32.25
comkin1,xc:929047,26,2,3.985,3.985,7.97,8.46
compoc,xc:797798,53,9,1.732,0.47,15.59,25.09
compoc,xc:570725,22,9,0.433,0.26,3.9,9.58
compoc,xc:484893,33,3,4.32,4.73,12.96,13.82
compoc,xc:783964,116,9,4.351,4.55,39.16,42.76
compoc,xc:994657,72,26,0.658,0.175,17.11,38.84
comsan,xc:932836,13,1,2.67,2.67,2.67,3.1
comsan,xc:599571,6,1,5.21,5.21,5.21,7.01
comsan,xc:743065,43,7,2.06,1.42,14.42,21.22
comsan,xc:671980,54,10,3.206,3.225,32.06,40.03
comsan,xc:894340,13,4,0.638,0.11,2.55,4.25
daured1,xc:113350,87,27,0.874,0.2,23.59,39.05
daured1,xc:790686,79,12,2.329,1.545,27.95,35.07
daured1,xc:977650,117,37,0.655,0.36,24.24,48.08
daured1,xc:835735,22,4,4.775,5.05,19.1,20.16
daured1,xc:194873,10,7,5.411,6.24,37.88,38.18
dusthr2,xc:811955,19,6,1.537,0.705,9.22,17.62
dusthr2,xc:979887,43,11,0.675,0.21,7.43,21.72
dusthr2,xc:696346,13,8,0.43,0.255,3.44,10.85
dusthr2,xc:893034,131,37,1.581,0.73,58.5,83.68
dusthr2,xc:708761,97,21,1.632,0.85,34.28,50.48
eurcoo,xc:357835,139,30,1.108,0.165,33.25,55.64
eurcoo,xc:631503,38,10,2.12,0.44,21.2,27.6
eurcoo,xc:902431,110,29,1.126,0.41,32.65,46.29
eurcoo,xc:825928,156,55,0.471,0.05,25.93,61.46
eurcoo,xc:551713,2,2,0.05,0.05,0.1,7.18
eurwig,xc:706792,11,6,0.275,0.11,1.65,11.94
eurwig,xc:702702,15,7,0.56,0.48,3.92,10.53
eurwig,xc:894419,27,16,0.283,0.115,4.53,18.99
eurwig,xc:706795,23,11,0.39,0.05,4.29,22.67
eurwig,xc:1051756,35,11,0.892,0.08,9.81,22.05
eutspa,xc:381814,102,9,2.951,1.82,26.56,31.68
eutspa,xc:936174,268,65,0.889,0.16,57.78,88.4
eutspa,xc:185713,175,30,1.823,0.75,54.7,70.07
eutspa,xc:164536,215,58,0.986,0.4,57.16,95.02
eutspa,xc:341173,58,14,1.376,1.145,19.26,27.09
gadwal,xc:651967,213,49,1.131,0.37,55.44,79.01
gadwal,xc:548049,59,7,2.871,2.27,20.1,21.53
gadwal,xc:963992,36,3,4.46,4.23,13.38,14.73
gadwal,xc:284792,13,1,7.1,7.1,7.1,9.2
gadwal,xc:1021736,16,4,0.867,0.415,3.47,6.88
gnwtea,xc:977018,6,1,2.73,2.73,2.73,3.02
gnwtea,xc:533237,122,43,0.787,0.35,33.84,63.9
gnwtea,xc:280945,42,14,1.444,0.99,20.22,30.28
gnwtea,xc:774518,5,5,2.16,0.12,10.8,10.99
gnwtea,xc:309109,41,7,2.723,0.86,19.06,20.46
graher1,xc:941740,14,8,0.46,0.255,3.68,10.81
graher1,xc:1027522,4,4,0.123,0.12,0.49,6.38
graher1,xc:988147,24,2,4.095,4.095,8.19,8.59
graher1,xc:760232,4,4,0.54,0.55,2.16,13.84
graher1,xc:781315,41,8,1.845,1.965,14.76,19.34
grcgre1,xc:473226,9,6,0.81,0.86,4.86,10.59
grcgre1,xc:252268,55,5,3.436,2.31,17.18,18.0
grcgre1,xc:636568,75,15,1.917,0.32,28.76,36.18
grcgre1,xc:462953,22,5,1.068,0.42,5.34,8.72
grcgre1,xc:897021,6,5,0.816,0.1,4.08,8.05
grecor,xc:839104,12,1,4.15,4.15,4.15,7.7
grecor,xc:987714,56,15,1.255,0.67,18.82,28.49
grecor,xc:448710,50,4,2.915,3.25,11.66,13.49
grecor,xc:308865,298,53,1.953,0.53,103.53,128.46
grecor,xc:372106,320,34,3.336,3.255,113.44,123.88
greegr,xc:561777,10,3,1.103,0.05,3.31,7.17
greegr,xc:161280,262,37,2.495,1.44,92.31,112.85
greegr,xc:454182,24,10,0.871,0.565,8.71,16.96
greegr,xc:1005363,19,6,0.992,0.7,5.95,9.51
greegr,xc:285219,19,3,2.9,3.3,8.7,11.51
grywag,xc:386848,8,6,0.835,0.125,5.01,13.18
grywag,xc:432286,71,25,1.658,0.89,41.46,52.41
grywag,xc:485891,22,13,0.518,0.44,6.73,19.46
grywag,xc:324350,95,18,1.588,0.395,28.59,40.01
grywag,xc:767548,40,17,0.845,0.07,14.36,23.85
jabwar,xc:285821,11,7,1.64,0.27,11.48,15.99
jabwar,xc:697521,35,8,1.445,0.38,11.56,18.45
jabwar,xc:410204,2,1,0.71,0.71,0.71,1.04
jabwar,xc:27362,53,9,2.187,1.0,19.68,35.19
jabwar,xc:34404,33,18,0.678,0.145,12.21,25.71
japwag1,xc:294783,2,1,1.04,1.04,1.04,1.06
japwag1,xc:527476,9,4,1.09,0.255,4.36,7.82
japwag1,xc:841046,44,14,1.011,0.62,14.16,27.38
japwag1,xc:532311,6,5,0.534,0.69,2.67,21.56
japwag1,xc:704676,36,12,0.792,0.135,9.5,15.26
labcro1,xc:811530,45,10,2.557,1.47,25.57,34.08
labcro1,xc:824065,92,43,1.316,0.85,56.58,109.69
labcro1,xc:350538,21,6,2.333,2.7,14.0,21.29
labcro1,xc:307471,9,1,4.55,4.55,4.55,6.59
labcro1,xc:811821,91,62,0.558,0.05,34.57,201.91
litegr,xc:481452,10,3,0.98,0.56,2.94,5.29
litegr,xc:779145,12,8,0.634,0.295,5.07,20.6
litegr,xc:333966,82,34,0.694,0.145,23.58,40.68
litegr,xc:748297,31,22,0.283,0.18,6.22,24.1
litegr,xc:333874,43,19,0.743,0.12,14.12,24.59
litgre1,xc:804879,10,6,0.413,0.05,2.48,8.53
litgre1,xc:900716,6,6,0.062,0.055,0.37,13.46
litgre1,xc:380340,88,53,0.316,0.07,16.74,51.36
litgre1,xc:827756,6,5,0.444,0.06,2.22,5.15
litgre1,xc:923292,1,1,0.29,0.29,0.29,2.55
lottit1,xc:463643,71,13,3.123,2.63,40.6,47.01
lottit1,xc:354434,74,35,0.496,0.21,17.35,44.5
lottit1,xc:759683,180,31,2.115,1.4,65.55,84.4
lottit1,xc:708449,120,22,1.82,1.66,40.05,51.16
lottit1,xc:502966,22,6,1.98,1.175,11.88,22.01
mallar3,xc:846028,25,8,1.13,0.25,9.04,17.02
mallar3,xc:779764,18,7,1.027,0.05,7.19,24.89
mallar3,xc:630299,4,1,4.24,4.24,4.24,4.31
mallar3,xc:879568,24,2,3.495,3.495,6.99,7.98
mallar3,xc:631555,20,8,1.626,0.415,13.01,19.31
meabun1,xc:23968,88,12,3.291,2.44,39.49,44.78
meabun1,xc:491232,32,6,2.338,1.755,14.03,21.58
meabun1,xc:1018429,120,19,2.447,1.24,46.49,55.01
meabun1,xc:282181,22,14,0.676,0.04,9.47,23.05
meabun1,xc:626398,50,29,0.269,0.32,7.79,49.01
norpin,xc:733153,67,20,0.97,0.955,19.39,36.68
norpin,xc:972654,69,19,1.359,0.6,25.82,32.03
norpin,xc:971856,36,6,1.713,0.215,10.28,12.65
norpin,xc:615278,23,2,4.395,4.395,8.79,9.86
norpin,xc:463194,6,1,4.69,4.69,4.69,5.79
norsho,xc:974364,12,6,0.19,0.045,1.14,10.66
norsho,xc:712354,12,3,1.523,1.69,4.57,7.01
norsho,xc:501879,270,46,1.716,0.33,78.92,99.09
norsho,xc:617375,207,37,1.328,0.15,49.13,72.81
norsho,xc:586812,17,1,5.21,5.21,5.21,9.79
origre,xc:286288,13,2,3.49,3.49,6.98,8.7
origre,xc:992580,286,85,1.158,0.59,98.39,165.28
origre,xc:451340,81,31,0.698,0.34,21.65,46.11
origre,xc:285949,66,15,2.431,1.76,36.46,47.7
origre,xc:872882,29,17,1.274,1.29,21.65,44.63
ortdov,xc:473070,28,6,2.74,1.845,16.44,19.94
ortdov,xc:751150,211,42,1.474,0.345,61.89,86.05
ortdov,xc:955876,13,8,1.493,0.66,11.94,17.51
ortdov,xc:657028,91,53,0.335,0.1,17.76,49.01
ortdov,xc:327475,88,34,2.002,0.84,68.06,90.22
osprey,xc:511013,102,32,0.784,0.095,25.08,51.02
osprey,xc:465294,102,12,2.65,1.56,31.8,36.86
osprey,xc:694232,65,27,0.557,0.06,15.03,32.3
osprey,xc:272312,125,28,1.452,0.52,40.66,63.25
osprey,xc:588910,109,27,1.866,0.63,50.39,84.36
palthr1,xc:758275,48,23,0.74,0.14,17.01,39.24
palthr1,xc:772404,23,6,1.12,0.78,6.72,13.2
palthr1,xc:707803,175,44,1.923,1.235,84.59,122.6
palthr1,xc:652386,156,41,1.128,0.2,46.25,73.01
palthr1,xc:780155,2,1,6.4,6.4,6.4,10.22
pygwoo1,xc:191044,1,1,1.57,1.57,1.57,1.58
pygwoo1,xc:267398,134,29,1.608,0.27,46.63,75.32
pygwoo1,xc:285634,12,4,1.255,0.99,5.02,8.16
pygwoo1,xc:267395,10,7,0.661,0.22,4.63,10.01
pygwoo1,xc:285907,15,3,3.02,1.69,9.06,11.71
rocpig,xc:349161,52,11,2.077,1.54,22.85,32.55
rocpig,xc:269761,45,16,1.972,0.56,31.55,43.21
rocpig,xc:488175,41,13,1.697,0.04,22.06,28.4
rocpig,xc:621266,38,12,4.07,3.735,48.84,51.1
rocpig,xc:380349,12,4,3.05,2.67,12.2,15.73
skylar,xc:949909,28,14,0.902,0.285,12.63,24.17
skylar,xc:975229,127,28,4.054,4.095,113.5,120.66
skylar,xc:180733,56,24,3.239,3.3,77.73,79.21
skylar,xc:627311,157,51,3.165,0.83,161.44,197.51
skylar,xc:704675,19,3,4.693,6.23,14.08,14.58
spbduc,xc:803917,44,10,1.424,0.35,14.24,19.35
spbduc,xc:992583,267,96,0.579,0.14,55.62,103.91
spbduc,xc:920581,85,35,0.435,0.22,15.23,36.6
spbduc,xc:266814,18,8,0.67,0.22,5.36,10.98
spbduc,xc:414277,270,38,2.484,1.945,94.39,104.07
tufduc,xc:280915,48,8,2.734,2.685,21.87,24.09
tufduc,xc:76445,16,2,3.655,3.655,7.31,8.5
tufduc,xc:792843,32,6,2.443,1.94,14.66,17.87
tufduc,xc:488129,4,3,0.403,0.2,1.21,4.76
tufduc,xc:810555,36,8,1.998,1.175,15.98,20.54
vartit1,xc:882175,216,102,0.549,0.12,55.95,165.01
vartit1,xc:998735,59,26,1.161,0.355,30.19,60.66
vartit1,xc:790852,23,10,1.441,0.07,14.41,24.63
vartit1,xc:871190,121,46,1.555,0.215,71.55,126.51
vartit1,xc:843770,33,18,1.117,0.785,20.11,37.6
warwhe1,xc:69779,30,4,3.062,2.41,12.25,14.65
warwhe1,xc:155881,173,28,1.946,0.47,54.48,71.5
warwhe1,xc:617434,302,64,2.323,2.52,148.7,186.21
warwhe1,xc:219961,91,23,2.09,0.91,48.06,58.0
warwhe1,xc:287972,117,23,3.333,3.02,76.65,85.58
whcsta1,xc:790703,280,37,3.375,3.15,124.86,140.74
whcsta1,xc:333014,68,14,1.725,0.945,24.15,34.65
whcsta1,xc:574136,31,5,2.286,0.35,11.43,18.68
whcsta1,xc:824056,37,9,1.576,0.31,14.18,19.9
whcsta1,xc:810042,27,4,1.778,0.355,7.11,11.34
whiwag,xc:212874,40,9,1.788,0.54,16.09,23.43
whiwag,xc:332116,29,15,0.787,0.39,11.8,23.36
whiwag,xc:944139,85,23,1.216,0.29,27.97,56.97
whiwag,xc:201954,31,3,4.0,3.46,12.0,14.02
whiwag,xc:617835,10,4,0.853,0.42,3.41,7.18
