species_code,recording_id,n_bouts,n_accept,n_review,n_reject,mean_target_score,max_target_score
azwmag2,xc:464622,56,28,24,4,0.476,0.9989
azwmag2,xc:194379,3,1,2,0,0.179,0.4746
azwmag2,xc:790248,9,5,4,0,0.5758,0.9038
azwmag2,xc:716117,36,5,27,4,0.0972,0.663
azwmag2,xc:720180,9,0,2,7,0.1218,0.3123
barswa,xc:578054,5,0,5,0,0.03,0.1354
barswa,xc:747403,23,15,7,1,0.6214,0.9917
barswa,xc:1042324,9,4,5,0,0.3317,0.7631
barswa,xc:677842,14,10,4,0,0.5492,0.9897
barswa,xc:142731,10,9,1,0,0.9943,0.9988
bkfbun2,ml:620881189,15,0,15,0,-1.0,-1.0
bkfbun2,ml:618704340,10,0,10,0,-1.0,-1.0
bkfbun2,ml:634320120,14,0,14,0,-1.0,-1.0
bkfbun2,ml:637612944,14,0,14,0,-1.0,-1.0
bkfbun2,ml:624172439,80,0,80,0,-1.0,-1.0
bkhgul,xc:580794,33,20,10,3,0.5071,0.9923
bkhgul,xc:752720,17,6,10,1,0.3259,0.832
bkhgul,xc:1065402,3,0,3,0,0.0351,0.0892
bkhgul,xc:1050112,5,4,1,0,0.5296,0.794
bkhgul,xc:525320,8,8,0,0,0.9139,0.9915
bktgul,xc:627390,39,23,14,2,0.4703,0.9929
bktgul,xc:903942,2,0,1,1,0.0,0.0
bktgul,xc:1016634,7,1,5,1,0.3309,0.6293
bktgul,xc:344933,23,14,8,1,0.5806,0.9885
bktgul,xc:344932,7,4,2,1,0.5442,0.8211
blakit1,xc:493737,45,18,21,6,0.3693,0.962
blakit1,xc:507829,1,1,0,0,0.7804,0.7804
blakit1,xc:628280,6,3,3,0,0.5138,0.9952
blakit1,xc:1026906,45,2,33,10,0.1006,0.9307
blakit1,xc:896543,1,1,0,0,0.8817,0.8817
brebul1,xc:155867,22,21,1,0,0.9687,0.9984
brebul1,xc:551619,6,6,0,0,0.9939,0.9996
brebul1,xc:466085,2,2,0,0,0.9337,0.9916
brebul1,xc:200439,56,45,8,3,0.7626,0.9995
brebul1,xc:784921,8,7,1,0,0.7094,0.983
buhshr1,xc:194695,1,1,0,0,0.951,0.951
buhshr1,xc:88961,4,3,0,1,0.4573,0.7093
buhshr1,xc:793926,11,9,2,0,0.906,0.9999
buhshr1,xc:842854,15,0,11,4,0.015,0.1439
buhshr1,xc:505447,2,2,0,0,0.9995,0.9996
burthr,xc:134325,51,14,33,4,0.3101,0.9952
burthr,xc:1023727,23,3,13,7,0.1341,0.646
burthr,xc:697948,4,2,2,0,0.5571,0.7811
burthr,xc:921485,2,1,1,0,0.4768,0.7306
burthr,xc:472199,21,15,6,0,0.6109,0.9289
carcro1,xc:785592,5,1,0,4,0.1953,0.917
carcro1,xc:511980,8,0,8,0,0.2081,0.4167
carcro1,xc:688118,11,1,7,3,0.3875,0.7878
carcro1,xc:745101,96,0,74,22,0.0312,0.3406
carcro1,xc:635134,1,1,0,0,0.9475,0.9475
cintit13,xc:1030710,12,6,6,0,0.6265,0.9969
cintit13,xc:582929,32,4,26,2,0.374,0.9312
cintit13,xc:531958,12,1,2,9,0.1418,0.9365
cintit13,xc:319792,13,12,1,0,0.8656,0.9933
cintit13,xc:166690,4,2,2,0,0.4821,0.9923
comkin1,xc:462875,15,9,6,0,0.6861,0.9989
comkin1,xc:502269,10,4,5,1,0.4566,0.9664
comkin1,xc:931189,2,1,1,0,0.6402,0.9797
comkin1,xc:800955,11,8,3,0,0.6489,0.9898
comkin1,xc:929047,2,2,0,0,0.7764,0.7998
compoc,xc:797798,9,0,1,8,0.0,0.0
compoc,xc:570725,9,6,3,0,0.389,0.9051
compoc,xc:484893,3,0,1,2,0.0372,0.0873
compoc,xc:783964,9,3,4,2,0.2322,0.5555
compoc,xc:994657,26,6,20,0,0.25,0.9886
comsan,xc:932836,1,1,0,0,0.9836,0.9836
comsan,xc:599571,1,0,1,0,0.7773,0.7773
comsan,xc:743065,7,3,2,2,0.4417,0.9924
comsan,xc:671980,10,9,1,0,0.9861,0.9999
comsan,xc:894340,4,4,0,0,0.9974,0.998
daured1,xc:113350,27,8,18,1,0.2935,0.9971
daured1,xc:790686,12,0,8,4,0.0206,0.1285
daured1,xc:977650,37,1,34,2,0.0299,0.5041
daured1,xc:835735,4,2,2,0,0.351,0.5178
daured1,xc:194873,7,6,1,0,0.8644,0.9809
dusthr2,xc:811955,6,1,4,1,0.1596,0.7357
dusthr2,xc:979887,11,0,5,6,0.0081,0.0484
dusthr2,xc:696346,8,4,4,0,0.2778,0.9135
dusthr2,xc:893034,37,4,27,6,0.0637,0.4419
dusthr2,xc:708761,21,1,13,7,0.044,0.3596
eurcoo,xc:357835,30,16,14,0,0.537,0.9995
eurcoo,xc:631503,10,1,6,3,0.189,0.9823
eurcoo,xc:902431,29,19,8,2,0.541,0.996
eurcoo,xc:825928,55,0,52,3,0.0013,0.0296
eurcoo,xc:551713,2,0,1,1,0.0064,0.0127
eurwig,xc:706792,6,0,6,0,0.0,0.0
eurwig,xc:702702,7,5,1,1,0.6389,0.993
eurwig,xc:894419,16,14,2,0,0.7256,0.9212
eurwig,xc:706795,11,0,10,1,0.0,0.0
eurwig,xc:1051756,11,3,8,0,0.2656,0.9766
eutspa,xc:381814,9,5,4,0,0.5184,0.9836
eutspa,xc:936174,65,23,39,3,0.2773,0.9424
eutspa,xc:185713,30,18,10,2,0.429,0.8284
eutspa,xc:164536,58,51,6,1,0.7576,0.9864
eutspa,xc:341173,14,14,0,0,0.8262,0.9754
gadwal,xc:651967,49,27,16,6,0.4881,0.9971
gadwal,xc:548049,7,3,4,0,0.3883,0.7438
gadwal,xc:963992,3,0,3,0,0.2174,0.2999
gadwal,xc:284792,1,0,1,0,0.2211,0.2211
gadwal,xc:1021736,4,3,1,0,0.6908,0.9952
gnwtea,xc:977018,1,1,0,0,0.9476,0.9476
gnwtea,xc:533237,43,28,11,4,0.6103,0.9994
gnwtea,xc:280945,14,13,1,0,0.8446,0.9983
gnwtea,xc:774518,5,4,1,0,0.9851,0.9954
gnwtea,xc:309109,7,4,3,0,0.6669,0.9828
graher1,xc:941740,8,6,2,0,0.628,0.9846
graher1,xc:1027522,4,4,0,0,0.8835,0.953
graher1,xc:988147,2,2,0,0,0.921,0.953
graher1,xc:760232,4,4,0,0,0.8407,0.9988
graher1,xc:781315,8,2,6,0,0.1686,0.8876
grcgre1,xc:473226,6,5,1,0,0.6724,0.9422
grcgre1,xc:252268,5,5,0,0,0.9702,0.9999
grcgre1,xc:636568,15,9,6,0,0.5513,0.9992
grcgre1,xc:462953,5,3,2,0,0.6514,0.9991
grcgre1,xc:897021,5,0,0,5,0.0,0.0
grecor,xc:839104,1,0,1,0,0.0466,0.0466
grecor,xc:987714,15,15,0,0,0.7526,0.9969
grecor,xc:448710,4,4,0,0,0.9194,0.967
grecor,xc:308865,53,33,17,3,0.5218,0.9998
grecor,xc:372106,34,32,2,0,0.9498,0.9999
greegr,xc:561777,3,1,1,1,0.32,0.6824
greegr,xc:161280,37,30,7,0,0.8338,0.9965
greegr,xc:454182,10,10,0,0,0.9107,0.9976
greegr,xc:1005363,6,2,4,0,0.2459,0.4989
greegr,xc:285219,3,1,2,0,0.5884,0.9349
grywag,xc:386848,6,2,4,0,0.3475,0.9907
grywag,xc:432286,25,7,8,10,0.2449,0.9886
grywag,xc:485891,13,11,2,0,0.893,0.9999
grywag,xc:324350,18,4,13,1,0.2582,0.9992
grywag,xc:767548,17,16,1,0,0.8778,0.9693
jabwar,xc:285821,7,5,2,0,0.5174,0.9699
jabwar,xc:697521,8,1,7,0,0.1312,0.9292
jabwar,xc:410204,1,1,0,0,0.7683,0.7683
jabwar,xc:27362,9,4,3,2,0.4618,0.9928
jabwar,xc:34404,18,4,12,2,0.1816,0.9747
japwag1,xc:294783,1,0,0,1,0.0166,0.0166
japwag1,xc:527476,4,0,2,2,0.0238,0.0953
japwag1,xc:841046,14,2,10,2,0.1736,0.8946
japwag1,xc:532311,5,1,4,0,0.2128,0.5527
japwag1,xc:704676,12,0,2,10,0.0,0.0
labcro1,xc:811530,10,10,0,0,0.8259,0.9562
labcro1,xc:824065,43,0,17,26,0.0337,0.8036
labcro1,xc:350538,6,0,6,0,0.201,0.6749
labcro1,xc:307471,1,0,1,0,0.0,0.0
labcro1,xc:811821,62,13,40,9,0.207,0.939
litegr,xc:481452,3,0,1,2,0.0043,0.0128
litegr,xc:779145,8,0,5,3,0.0238,0.1015
litegr,xc:333966,34,10,7,17,0.4827,0.9965
litegr,xc:748297,22,0,17,5,0.0266,0.2044
litegr,xc:333874,19,8,2,9,0.465,0.9966
litgre1,xc:804879,6,2,2,2,0.3159,0.9835
litgre1,xc:900716,6,2,3,1,0.2603,0.7665
litgre1,xc:380340,53,13,30,10,0.2305,0.9924
litgre1,xc:827756,5,2,3,0,0.6185,0.9909
litgre1,xc:923292,1,1,0,0,0.3934,0.3934
lottit1,xc:463643,13,12,1,0,0.8157,0.9972
lottit1,xc:354434,35,33,1,1,0.9121,0.9993
lottit1,xc:759683,31,25,4,2,0.8003,0.9997
lottit1,xc:708449,22,4,16,2,0.1733,0.9162
lottit1,xc:502966,6,0,0,6,0.007,0.0308
mallar3,xc:846028,8,6,2,0,0.7878,0.9824
mallar3,xc:779764,7,4,3,0,0.6664,0.9161
mallar3,xc:630299,1,0,1,0,0.1081,0.1081
mallar3,xc:879568,2,1,0,1,0.2888,0.5776
mallar3,xc:631555,8,8,0,0,0.9757,0.9926
meabun1,xc:23968,12,7,4,1,0.5876,0.9941
meabun1,xc:491232,6,2,4,0,0.2898,0.6363
meabun1,xc:1018429,19,17,2,0,0.7629,0.9759
meabun1,xc:282181,14,7,7,0,0.5729,0.9949
meabun1,xc:626398,29,27,2,0,0.8658,0.9874
norpin,xc:733153,20,4,15,1,0.2157,0.9843
norpin,xc:972654,19,5,11,3,0.3278,0.9989
norpin,xc:971856,6,5,1,0,0.7994,0.9878
norpin,xc:615278,2,1,1,0,0.3409,0.3415
norpin,xc:463194,1,0,1,0,0.3992,0.3992
norsho,xc:974364,6,0,3,3,0.0046,0.0178
norsho,xc:712354,3,0,2,1,0.0122,0.0254
norsho,xc:501879,46,10,14,22,0.2285,0.9999
norsho,xc:617375,37,9,27,1,0.2351,0.9977
norsho,xc:586812,1,0,0,1,0.0,0.0
origre,xc:286288,2,0,2,0,0.1572,0.1961
origre,xc:992580,85,9,65,11,0.1739,0.9226
origre,xc:451340,31,25,6,0,0.7291,0.9999
origre,xc:285949,15,12,3,0,0.8211,0.9931
origre,xc:872882,17,12,5,0,0.6253,0.9852
ortdov,xc:473070,6,4,0,2,0.6272,0.9801
ortdov,xc:751150,42,0,37,5,0.0143,0.278
ortdov,xc:955876,8,5,3,0,0.525,0.9756
ortdov,xc:657028,53,1,28,24,0.0131,0.6358
ortdov,xc:327475,34,15,16,3,0.4478,0.9968
osprey,xc:511013,32,0,10,22,0.0,0.0
osprey,xc:465294,12,0,10,2,0.0336,0.2691
osprey,xc:694232,27,4,12,11,0.1478,0.9906
osprey,xc:272312,28,12,13,3,0.3281,0.9858
osprey,xc:588910,27,4,20,3,0.145,0.9722
palthr1,xc:758275,23,0,21,2,0.034,0.2187
palthr1,xc:772404,6,1,5,0,0.1313,0.7543
palthr1,xc:707803,44,1,30,13,0.2207,0.8706
palthr1,xc:652386,41,7,25,9,0.2098,0.7361
palthr1,xc:780155,1,1,0,0,0.7187,0.7187
pygwoo1,xc:191044,1,1,0,0,0.5658,0.5658
pygwoo1,xc:267398,29,0,15,14,0.0026,0.0765
pygwoo1,xc:285634,4,1,2,1,0.1103,0.4099
pygwoo1,xc:267395,7,2,4,1,0.1503,0.4537
pygwoo1,xc:285907,3,0,2,1,0.0064,0.0192
rocpig,xc:349161,11,10,1,0,0.9058,0.9994
rocpig,xc:269761,16,7,6,3,0.482,0.9945
rocpig,xc:488175,13,13,0,0,0.994,0.9996
rocpig,xc:621266,12,5,7,0,0.4329,0.9964
rocpig,xc:380349,4,3,1,0,0.4577,0.5758
skylar,xc:949909,14,0,4,10,0.0,0.0
skylar,xc:975229,28,21,6,1,0.7146,0.9943
skylar,xc:180733,24,17,7,0,0.8993,0.9993
skylar,xc:627311,51,7,31,13,0.234,0.984
skylar,xc:704675,3,3,0,0,0.7976,0.9671
spbduc,xc:803917,10,1,8,1,0.1534,0.7216
spbduc,xc:992583,96,0,87,9,0.0045,0.059
spbduc,xc:920581,35,0,6,29,0.0004,0.0134
spbduc,xc:266814,8,0,4,4,0.0134,0.0669
spbduc,xc:414277,38,31,7,0,0.7805,0.9984
tufduc,xc:280915,8,5,2,1,0.725,0.9941
tufduc,xc:76445,2,2,0,0,0.9748,0.9828
tufduc,xc:792843,6,2,3,1,0.3267,0.9573
tufduc,xc:488129,3,1,2,0,0.1612,0.4835
tufduc,xc:810555,8,4,4,0,0.3539,0.8356
vartit1,xc:882175,102,5,79,18,0.0476,0.9919
vartit1,xc:998735,26,1,16,9,0.0832,0.6404
vartit1,xc:790852,10,4,4,2,0.2829,0.8721
vartit1,xc:871190,46,13,27,6,0.2076,0.9622
vartit1,xc:843770,18,7,4,7,0.4262,0.9964
warwhe1,xc:69779,4,1,3,0,0.2427,0.7749
warwhe1,xc:155881,28,13,15,0,0.8613,0.9991
warwhe1,xc:617434,64,54,10,0,0.776,0.9963
warwhe1,xc:219961,23,8,14,1,0.3668,0.9873
warwhe1,xc:287972,23,0,12,11,0.0263,0.1019
whcsta1,xc:790703,37,1,31,5,0.0972,0.3691
whcsta1,xc:333014,14,10,4,0,0.4797,0.9761
whcsta1,xc:574136,5,2,3,0,0.1992,0.5328
whcsta1,xc:824056,9,0,5,4,0.0353,0.0894
whcsta1,xc:810042,4,0,4,0,0.008,0.0172
whiwag,xc:212874,9,9,0,0,0.9784,0.9979
whiwag,xc:332116,15,14,1,0,0.9198,0.9989
whiwag,xc:944139,23,18,5,0,0.5519,0.9508
whiwag,xc:201954,3,2,1,0,0.9893,0.9942
whiwag,xc:617835,4,3,1,0,0.74,0.9934
zitcis1,xc:476911,32,32,0,0,0.9959,0.9997
zitcis1,xc:753226,23,18,5,0,0.5796,0.9122
zitcis1,xc:301756,14,8,4,2,0.5425,0.9986
zitcis1,xc:359154,5,0,5,0,0.1449,0.2851
zitcis1,xc:1011812,7,0,7,0,0.1869,0.5334
