species_code,recording_id,safe_id,note_idx,onset,offset,method,rms_denoised,rms_original,snr_improvement,duration,rms_rank
azwmag2,xc:1016671,xc_1016671,0,0.0,1.92,biodenoising,,,,,
azwmag2,xc:1016671,xc_1016671,1,0.0,0.46,biodenoising,,,,,
azwmag2,xc:1016671,xc_1016671,2,0.0,0.47,biodenoising,,,,,
azwmag2,xc:1016671,xc_1016671,17,0.0,0.84,biodenoising,,,,,
azwmag2,xc:1016671,xc_1016671,19,0.0,0.41,biodenoising,,,,,
azwmag2,xc:1058393,xc_1058393,3,0.0,4.42,biodenoising,,,,,
azwmag2,xc:1058393,xc_1058393,4,0.0,2.11,biodenoising,,,,,
azwmag2,xc:1058393,xc_1058393,5,0.0,0.55,biodenoising,,,,,
azwmag2,xc:1058393,xc_1058393,7,0.0,0.59,biodenoising,,,,,
azwmag2,xc:1058393,xc_1058393,14,0.0,0.53,biodenoising,,,,,
azwmag2,xc:194379,xc_194379,2,0.0,3.34,biodenoising,,,,,
azwmag2,xc:339213,xc_339213,12,0.0,3.56,biodenoising,,,,,
azwmag2,xc:464622,xc_464622,85,0.0,5.77,biodenoising,,,,,
azwmag2,xc:464622,xc_464622,90,0.0,0.77,biodenoising,,,,,
azwmag2,xc:464622,xc_464622,101,0.0,2.34,biodenoising,,,,,
azwmag2,xc:464622,xc_464622,108,0.0,3.22,biodenoising,,,,,
azwmag2,xc:712021,xc_712021,2,0.0,1.98,biodenoising,,,,,
azwmag2,xc:712021,xc_712021,13,0.0,0.57,biodenoising,,,,,
azwmag2,xc:712021,xc_712021,16,0.0,1.79,biodenoising,,,,,
azwmag2,xc:712021,xc_712021,28,0.0,0.44,biodenoising,,,,,
azwmag2,xc:712021,xc_712021,34,0.0,1.44,biodenoising,,,,,
azwmag2,xc:716117,xc_716117,1,0.0,1.61,biodenoising,,,,,
azwmag2,xc:716117,xc_716117,9,0.0,0.93,biodenoising,,,,,
azwmag2,xc:729860,xc_729860,2,0.0,0.46,biodenoising,,,,,
azwmag2,xc:729860,xc_729860,3,0.0,0.28,biodenoising,,,,,
azwmag2,xc:729860,xc_729860,4,0.0,0.51,biodenoising,,,,,
azwmag2,xc:729860,xc_729860,7,0.0,0.29,biodenoising,,,,,
