species_code,recording_id,safe_id,note_idx,onset,offset,best_source,purity,rms_best_source,duration,rms_rank,score,method
azwmag2,xc:720180,xc_720180,19,13.22,14.52,0,0.9999,0.015496800653636456,1.3,1.0,0.9999,bird-mixit
azwmag2,xc:790250,xc_790250,0,0.33,1.47,0,0.9998,0.18626143038272858,1.14,1.0,0.9998,bird-mixit
azwmag2,xc:762197,xc_762197,41,49.71,50.05,0,0.9997,0.019238216802477837,0.34,1.0,0.9997,bird-mixit
azwmag2,xc:911230,xc_911230,2,3.3,5.11,0,0.9996,0.014923020265996456,1.81,1.0,0.9996,bird-mixit
azwmag2,xc:790248,xc_790248,14,13.75,14.31,0,0.9994,0.08058443665504456,0.56,1.0,0.9994,bird-mixit
azwmag2,xc:1058393,xc_1058393,5,8.28,8.83,0,0.9991,0.06666217744350433,0.55,1.0,0.9991,bird-mixit
azwmag2,xc:766304,xc_766304,2,3.0,3.5,0,0.9952,0.06965350359678268,0.5,1.0,0.9952,bird-mixit
azwmag2,xc:733333,xc_733333,13,15.24,16.03,0,0.9916,0.04724344238638878,0.79,1.0,0.9916,bird-mixit
azwmag2,xc:911230,xc_911230,4,5.65,13.65,0,0.9967,0.014568942598998547,8.0,0.9921259842519685,0.9888519685039371,bird-mixit
azwmag2,xc:911230,xc_911230,55,49.57,50.77,0,0.9985,0.009043533354997635,1.2,0.984251968503937,0.9827755905511811,bird-mixit
azwmag2,xc:1016671,xc_1016671,2,2.83,3.3,0,0.9776,0.13625484704971313,0.47,1.0,0.9776,bird-mixit
azwmag2,xc:762197,xc_762197,40,44.05,44.41,0,0.9997,0.018581580370664597,0.36,0.9772727272727273,0.9769795454545455,bird-mixit
azwmag2,xc:911230,xc_911230,1,1.35,2.8,0,0.9998,0.008915039710700512,1.45,0.9763779527559056,0.9761826771653543,bird-mixit
azwmag2,xc:1016671,xc_1016671,17,11.68,12.52,0,0.9859,0.11812160164117813,0.84,0.987012987012987,0.9730961038961039,bird-mixit
azwmag2,xc:841258,xc_841258,35,26.87,27.31,1,0.9806,0.008790307678282261,0.44,0.9918032786885246,0.9725622950819672,bird-mixit
azwmag2,xc:841258,xc_841258,186,134.06,134.68,1,0.997,0.007836383767426014,0.62,0.9754098360655737,0.972483606557377,bird-mixit
azwmag2,xc:766304,xc_766304,5,8.82,9.09,0,0.9951,0.05821307748556137,0.27,0.9722222222222222,0.9674583333333333,bird-mixit
azwmag2,xc:911230,xc_911230,60,52.19,53.31,0,0.9988,0.008844427764415741,1.12,0.968503937007874,0.9673417322834645,bird-mixit
azwmag2,xc:194379,xc_194379,2,6.13,9.47,0,0.9654,0.02448621392250061,3.34,1.0,0.9654,bird-mixit
azwmag2,xc:712021,xc_712021,2,0.89,2.87,0,0.9904,0.04025959223508835,1.98,0.9743589743589743,0.9650051282051282,bird-mixit
azwmag2,xc:841258,xc_841258,182,130.2,131.0,1,0.9607,0.00969835463911295,0.8,0.9959016393442623,0.9567627049180328,bird-mixit
azwmag2,xc:841258,xc_841258,193,138.64,139.14,1,0.972,0.00824478268623352,0.5,0.9836065573770492,0.9560655737704917,bird-mixit
azwmag2,xc:1016671,xc_1016671,19,13.06,13.47,0,0.9808,0.11654521524906158,0.41,0.974025974025974,0.9553246753246754,bird-mixit
azwmag2,xc:1058393,xc_1058393,3,1.55,5.97,0,0.9963,0.06521203368902206,4.42,0.9583333333333334,0.9547875,bird-mixit
azwmag2,xc:762197,xc_762197,17,11.76,12.19,0,0.9996,0.018512671813368797,0.43,0.9545454545454546,0.9541636363636364,bird-mixit
azwmag2,xc:841258,xc_841258,195,139.91,140.39,1,0.9896,0.007475028280168772,0.48,0.9631147540983607,0.9530983606557377,bird-mixit
azwmag2,xc:720180,xc_720180,2,0.98,2.05,0,0.9998,0.015382646583020687,1.07,0.9523809523809523,0.9521904761904761,bird-mixit
azwmag2,xc:464622,xc_464622,90,53.93,54.7,1,0.9628,0.024837980046868324,0.77,0.9888888888888889,0.9521022222222223,bird-mixit
azwmag2,xc:712021,xc_712021,34,22.78,24.22,0,0.9491,0.07676253467798233,1.44,1.0,0.9491,bird-mixit
azwmag2,xc:716117,xc_716117,20,27.41,28.13,0,0.9931,0.015106762759387493,0.72,0.9473684210526315,0.9408315789473684,bird-mixit
azwmag2,xc:766304,xc_766304,6,9.14,9.29,0,0.9908,0.05171557888388634,0.15,0.9444444444444444,0.9357555555555556,bird-mixit
azwmag2,xc:1016671,xc_1016671,4,4.75,5.2,0,0.9862,0.10874241590499878,0.45,0.948051948051948,0.9349688311688311,bird-mixit
azwmag2,xc:464622,xc_464622,176,108.91,109.56,1,0.955,0.009274707175791264,0.65,0.9777777777777777,0.9337777777777777,bird-mixit
azwmag2,xc:762197,xc_762197,30,28.34,28.75,0,0.9997,0.01770642027258873,0.41,0.9318181818181818,0.9315386363636363,bird-mixit
azwmag2,xc:712021,xc_712021,16,13.46,15.25,0,0.9801,0.039183080196380615,1.79,0.9487179487179487,0.9298384615384615,bird-mixit
azwmag2,xc:339213,xc_339213,12,9.19,12.75,0,0.9291,0.05184805020689964,3.56,1.0,0.9291,bird-mixit
azwmag2,xc:464622,xc_464622,186,113.12,113.26,1,0.9656,0.005340180359780788,0.14,0.9611111111111111,0.9280488888888889,bird-mixit
azwmag2,xc:733333,xc_733333,4,5.61,6.67,0,0.9884,0.0447617806494236,1.06,0.9375,0.9266249999999999,bird-mixit
azwmag2,xc:1016671,xc_1016671,1,2.13,2.59,0,0.9621,0.11268389225006104,0.46,0.961038961038961,0.9246155844155843,bird-mixit
azwmag2,xc:712021,xc_712021,28,20.47,20.91,0,0.9992,0.025683457031846046,0.44,0.9230769230769231,0.9223384615384616,bird-mixit
azwmag2,xc:790248,xc_790248,17,15.77,16.32,0,0.9977,0.07883103936910629,0.55,0.9230769230769231,0.9209538461538462,bird-mixit
azwmag2,xc:716117,xc_716117,36,50.95,51.73,0,0.9946,0.014975215308368206,0.78,0.9210526315789473,0.9160789473684211,bird-mixit
