species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
azwmag2,xc:464622,194,47,1.818,0.92,85.44,117.36
azwmag2,xc:194379,3,2,4.58,4.58,9.16,9.49
azwmag2,xc:790248,18,10,0.686,0.64,6.86,16.65
azwmag2,xc:716117,42,21,0.585,0.13,12.28,71.91
azwmag2,xc:720180,23,4,3.495,3.715,13.98,15.51
azwmag2,xc:729860,11,7,0.784,0.29,5.49,10.47
azwmag2,xc:820038,13,3,4.75,5.18,14.25,15.95
azwmag2,xc:682044,1,2,5.6,5.6,11.2,11.24
azwmag2,xc:911230,139,41,1.687,0.92,69.18,95.42
azwmag2,xc:1058393,24,8,2.772,1.72,22.18,25.11
azwmag2,xc:841258,265,46,3.547,3.315,163.16,181.87
azwmag2,xc:790250,3,3,1.2,1.2,3.6,16.01
azwmag2,xc:766304,39,19,0.544,0.38,10.33,35.14
azwmag2,xc:762197,47,29,0.556,0.36,16.13,61.59
azwmag2,xc:339213,17,5,2.34,1.61,11.7,17.13
azwmag2,xc:1016671,77,36,1.064,0.35,38.31,59.45
azwmag2,xc:733333,22,12,0.973,0.995,11.68,23.52
azwmag2,xc:712021,39,6,3.808,3.585,22.85,26.36
azwmag2,xc:906845,7,5,0.762,0.59,3.81,15.11
azwmag2,xc:784889,30,6,4.268,5.025,25.61,27.51
barswa,xc:578054,11,6,2.15,1.905,12.9,16.64
barswa,xc:747403,62,21,0.857,0.26,17.99,36.46
barswa,xc:1042324,41,8,1.562,0.755,12.5,23.32
barswa,xc:677842,37,8,2.602,1.48,20.82,24.38
barswa,xc:142731,13,12,3.816,3.685,45.79,48.59
barswa,xc:721365,22,11,4.58,4.87,50.38,56.61
barswa,xc:664990,5,6,4.213,4.315,25.28,25.76
barswa,xc:801549,27,5,2.85,1.45,14.25,16.35
barswa,xc:653439,19,8,1.966,1.02,15.73,20.94
barswa,xc:511682,7,5,3.448,3.63,17.24,20.09
barswa,xc:126103,47,21,0.618,0.15,12.97,31.12
barswa,xc:191008,69,40,0.649,0.455,25.97,63.63
barswa,xc:123035,157,140,0.884,0.82,123.7,250.91
barswa,xc:193495,57,27,0.526,0.25,14.21,39.71
barswa,xc:669362,25,4,2.55,2.75,10.2,11.58
barswa,xc:206071,9,2,3.445,3.445,6.89,8.69
barswa,xc:580258,29,5,3.384,3.34,16.92,19.54
barswa,xc:919230,53,14,1.782,0.74,24.95,32.99
barswa,xc:197400,98,18,2.656,2.08,47.81,56.81
barswa,xc:741685,1,1,0.39,0.39,0.39,0.85
