species_code,n_bouts,n_clusters,n_noise,noise_ratio
azwmag2,312,15,57,0.183
barswa,362,12,131,0.362
bkfbun2,265,10,83,0.313
bkhgul,480,11,208,0.433
bktgul,336,12,93,0.277
blakit1,267,10,88,0.33
brebul1,238,9,76,0.319
buhshr1,197,11,48,0.244
burthr,431,15,65,0.151
carcro1,234,9,90,0.385
cintit13,287,15,39,0.136
comkin1,131,7,34,0.26
compoc,153,7,28,0.183
comsan,145,8,55,0.379
daured1,395,19,79,0.2
dusthr2,266,12,74,0.278
eurcoo,218,10,59,0.271
eurwig,309,9,62,0.201
eutspa,451,17,114,0.253
gadwal,197,9,46,0.234
gnwtea,334,11,110,0.329
graher1,181,5,96,0.53
grcgre1,213,8,69,0.324
grecor,243,6,83,0.342
greegr,123,4,28,0.228
grywag,259,13,64,0.247
jabwar,363,19,89,0.245
japwag1,267,16,38,0.142
labcro1,346,17,108,0.312
litegr,325,8,68,0.209
litgre1,128,4,72,0.562
lottit1,860,10,300,0.349
mallar3,358,6,77,0.215
meabun1,539,17,124,0.23
norpin,212,10,100,0.472
norsho,215,9,84,0.391
origre,455,19,95,0.209
ortdov,273,13,72,0.264
osprey,349,19,40,0.115
palthr1,242,10,32,0.132
pygwoo1,423,21,107,0.253
rocpig,302,14,62,0.205
skylar,327,7,195,0.596
spbduc,324,12,123,0.38
tufduc,1745,2,375,0.215
vartit1,365,18,88,0.241
warwhe1,646,11,70,0.108
whcsta1,322,14,91,0.283
whiwag,339,12,47,0.139
zitcis1,272,14,60,0.221
