species_code,n_notes_total,n_notes_filtered,n_clusters,n_noise,noise_ratio
azwmag2,909,727,5,460,0.633
barswa,707,565,11,237,0.419
bkfbun2,657,525,9,245,0.467
bkhgul,1323,1058,4,386,0.365
bktgul,879,703,5,418,0.595
blakit1,613,490,5,94,0.192
brebul1,656,525,9,273,0.52
buhshr1,366,293,12,78,0.266
burthr,1271,1017,6,728,0.716
carcro1,477,381,10,176,0.462
cintit13,709,567,7,301,0.531
comkin1,384,307,9,178,0.58
compoc,386,309,5,153,0.495
comsan,296,237,6,109,0.46
daured1,891,713,11,304,0.426
dusthr2,720,576,7,219,0.38
eurcoo,507,405,8,291,0.719
eurwig,558,446,7,258,0.578
eutspa,1382,1105,8,620,0.561
gadwal,583,466,11,201,0.431
gnwtea,648,518,7,376,0.726
graher1,351,281,7,136,0.484
grcgre1,689,551,4,420,0.762
grecor,830,664,5,488,0.735
greegr,377,301,4,168,0.558
grywag,442,353,10,163,0.462
jabwar,890,712,9,354,0.497
japwag1,510,408,12,165,0.404
labcro1,693,554,11,248,0.448
litegr,837,669,4,241,0.36
litgre1,160,128,3,60,0.469
lottit1,2024,1619,4,1112,0.687
mallar3,1014,811,5,369,0.455
meabun1,1031,825,14,406,0.492
norpin,598,478,7,245,0.513
norsho,736,589,7,309,0.525
origre,966,773,10,473,0.612
ortdov,653,522,9,317,0.607
osprey,789,631,9,348,0.552
palthr1,621,497,9,334,0.672
pygwoo1,973,778,5,510,0.656
rocpig,852,681,6,521,0.765
skylar,689,551,7,390,0.708
spbduc,893,714,5,470,0.658
tufduc,3890,3112,2,1660,0.533
vartit1,719,575,8,230,0.4
warwhe1,1650,1320,8,561,0.425
whcsta1,1040,832,2,543,0.653
whiwag,917,733,8,282,0.385
zitcis1,718,574,14,242,0.422
