recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:464622,azwmag2,1,191,36.891,0.193,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,2,318,44.805,0.141,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,3,109,100.179,0.919,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,4,68,5.989,0.088,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,5,1,9.304,9.304,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_464622_comparison.png
xc:194379,azwmag2,1,11,2.932,0.267,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,2,10,1.741,0.174,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,3,11,8.226,0.748,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,4,3,1.265,0.422,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,5,1,9.485,9.485,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_194379_comparison.png
xc:790248,azwmag2,1,25,4.931,0.197,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,2,21,5.124,0.244,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,3,3,16.416,5.472,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,4,16,2.155,0.135,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,5,1,16.647,16.647,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_790248_comparison.png
xc:716117,azwmag2,1,53,8.059,0.152,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,2,84,9.405,0.112,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,3,62,64.589,1.042,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,4,30,3.931,0.131,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_716117_comparison.png
xc:720180,azwmag2,1,11,4.795,0.436,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,2,27,4.619,0.171,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,3,12,14.061,1.172,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,4,10,2.16,0.216,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,5,1,15.507,15.507,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/azwmag2/xc_720180_comparison.png
xc:578054,barswa,1,18,8.245,0.458,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_578054_comparison.png
xc:578054,barswa,2,24,4.483,0.187,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_578054_comparison.png
