recording_id,ebird_species_code,n_segments,total_duration_sec,mean_segment_dur
xc:464622,azwmag2,11,46.851,4.259
xc:194379,azwmag2,0,0.0,0.0
xc:790248,azwmag2,6,13.187,2.198
xc:716117,azwmag2,6,10.357,1.726
xc:720180,azwmag2,2,6.784,3.392
xc:578054,barswa,2,15.347,7.673
xc:747403,barswa,4,24.339,6.085
xc:1042324,barswa,3,9.575,3.192
xc:677842,barswa,1,22.004,22.004
xc:142731,barswa,6,39.665,6.611
ml:620881189,bkfbun2,5,10.884,2.177
ml:618704340,bkfbun2,5,16.884,3.377
ml:634320120,bkfbun2,6,27.755,4.626
ml:637612944,bkfbun2,1,3.48,3.48
ml:624172439,bkfbun2,0,0.0,0.0
xc:580794,bkhgul,21,49.978,2.38
xc:752720,bkhgul,2,45.789,22.895
xc:1065402,bkhgul,4,6.406,1.601
xc:1050112,bkhgul,3,3.437,1.146
xc:525320,bkhgul,4,10.762,2.691
xc:627390,bktgul,9,33.096,3.677
xc:903942,bktgul,1,4.704,4.704
xc:1016634,bktgul,3,15.237,5.079
xc:344933,bktgul,2,2.354,1.177
xc:344932,bktgul,2,1.805,0.903
xc:493737,blakit1,12,27.257,2.271
xc:507829,blakit1,0,0.0,0.0
xc:628280,blakit1,2,2.533,1.267
xc:1026906,blakit1,11,45.936,4.176
xc:896543,blakit1,1,1.562,1.562
xc:155867,brebul1,7,26.992,3.856
xc:551619,brebul1,2,17.904,8.952
xc:466085,brebul1,1,4.109,4.109
xc:200439,brebul1,5,69.297,13.859
xc:784921,brebul1,3,15.369,5.123
xc:194695,buhshr1,0,0.0,0.0
xc:88961,buhshr1,1,4.153,4.153
xc:793926,buhshr1,4,3.949,0.987
xc:842854,buhshr1,5,10.309,2.062
xc:505447,buhshr1,0,0.0,0.0
xc:134325,burthr,13,22.596,1.738
xc:1023727,burthr,6,74.458,12.41
xc:697948,burthr,2,5.851,2.925
xc:921485,burthr,2,3.576,1.788
xc:472199,burthr,0,0.0,0.0
xc:785592,carcro1,4,12.934,3.233
xc:511980,carcro1,2,9.581,4.791
xc:688118,carcro1,6,22.062,3.677
xc:745101,carcro1,29,52.286,1.803
xc:635134,carcro1,2,2.395,1.197
xc:1030710,cintit13,7,14.429,2.061
xc:582929,cintit13,9,77.88,8.653
xc:531958,cintit13,6,17.955,2.992
xc:319792,cintit13,6,23.879,3.98
xc:166690,cintit13,0,0.0,0.0
xc:462875,comkin1,4,15.96,3.99
xc:502269,comkin1,1,1.933,1.933
xc:931189,comkin1,0,0.0,0.0
xc:800955,comkin1,4,24.512,6.128
xc:929047,comkin1,0,0.0,0.0
xc:797798,compoc,2,20.244,10.122
xc:570725,compoc,2,2.798,1.399
xc:484893,compoc,2,11.259,5.629
xc:783964,compoc,1,1.01,1.01
xc:994657,compoc,6,21.792,3.632
xc:932836,comsan,0,0.0,0.0
xc:599571,comsan,1,6.687,6.687
xc:743065,comsan,5,8.643,1.729
xc:671980,comsan,9,11.056,1.228
xc:894340,comsan,1,1.301,1.301
xc:113350,daured1,8,17.603,2.2
xc:790686,daured1,3,31.629,10.543
xc:977650,daured1,1,1.84,1.84
xc:835735,daured1,3,14.791,4.93
xc:194873,daured1,2,10.861,5.431
xc:811955,dusthr2,2,14.328,7.164
xc:979887,dusthr2,2,2.323,1.161
xc:696346,dusthr2,3,4.838,1.613
xc:893034,dusthr2,15,60.467,4.031
xc:708761,dusthr2,7,19.835,2.834
xc:357835,eurcoo,9,14.626,1.625
xc:631503,eurcoo,1,1.019,1.019
xc:902431,eurcoo,5,39.859,7.972
xc:825928,eurcoo,3,5.149,1.716
xc:551713,eurcoo,0,0.0,0.0
xc:706792,eurwig,1,1.501,1.501
xc:702702,eurwig,3,6.589,2.196
xc:894419,eurwig,1,1.291,1.291
xc:706795,eurwig,0,0.0,0.0
xc:1051756,eurwig,2,1.832,0.916
xc:381814,eutspa,8,16.989,2.124
xc:936174,eutspa,19,38.712,2.037
xc:185713,eutspa,3,67.477,22.492
xc:164536,eutspa,9,84.672,9.408
xc:341173,eutspa,4,12.997,3.249
xc:651967,gadwal,3,9.282,3.094
xc:548049,gadwal,3,12.19,4.063
xc:963992,gadwal,2,13.443,6.721
xc:284792,gadwal,1,6.032,6.032
xc:1021736,gadwal,1,1.181,1.181
xc:977018,gnwtea,1,1.78,1.78
xc:533237,gnwtea,8,25.083,3.135
xc:280945,gnwtea,6,21.194,3.532
xc:774518,gnwtea,0,0.0,0.0
xc:309109,gnwtea,5,10.144,2.029
xc:941740,graher1,1,4.469,4.469
xc:1027522,graher1,1,2.563,2.563
xc:988147,graher1,1,1.219,1.219
xc:760232,graher1,3,5.001,1.667
