recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:464622,azwmag2,1,191,36.891,0.193,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,2,318,44.805,0.141,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,3,109,100.179,0.919,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,6,201,56.469,0.281,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,8,162,63.76,0.394,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,12,24,3.003,0.125,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:464622,azwmag2,14,4,1.461,0.365,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_464622_comparison.png
xc:194379,azwmag2,1,11,2.932,0.267,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,2,10,1.741,0.174,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,3,11,8.226,0.748,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,6,12,4.719,0.393,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,8,6,5.544,0.924,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,12,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:194379,azwmag2,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_194379_comparison.png
xc:790248,azwmag2,1,25,4.931,0.197,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,2,21,5.124,0.244,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,3,3,16.416,5.472,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,6,24,5.845,0.244,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,8,17,5.477,0.322,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,12,8,3.968,0.496,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:790248,azwmag2,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_790248_comparison.png
xc:716117,azwmag2,1,53,8.059,0.152,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,2,84,9.405,0.112,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,3,62,64.589,1.042,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,6,71,10.256,0.144,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,8,60,10.619,0.177,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,12,44,6.725,0.153,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:716117,azwmag2,14,14,5.493,0.392,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_716117_comparison.png
xc:720180,azwmag2,1,11,4.795,0.436,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,2,27,4.619,0.171,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,3,12,14.061,1.172,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,6,24,8.4,0.35,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,8,11,5.072,0.461,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,12,5,0.613,0.123,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:720180,azwmag2,14,2,0.181,0.091,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/azwmag2/xc_720180_comparison.png
xc:578054,barswa,1,18,8.245,0.458,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,2,24,4.483,0.187,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,3,22,13.451,0.611,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,6,15,9.995,0.666,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,8,11,7.136,0.649,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,12,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:578054,barswa,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_578054_comparison.png
xc:747403,barswa,1,62,6.976,0.113,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:747403,barswa,2,76,6.904,0.091,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:747403,barswa,3,25,32.435,1.297,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:747403,barswa,6,71,8.395,0.118,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:747403,barswa,8,65,16.677,0.257,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:747403,barswa,12,14,0.965,0.069,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
