species_code,recording_id,safe_id,bout_idx,bout_onset,bout_offset,n_notes,cluster_id,cluster_prob
azwmag2,xc:841258,xc_841258,11,47.71,54.27,10,10,1.0
azwmag2,xc:841258,xc_841258,12,54.6,57.29,5,10,1.0
azwmag2,xc:841258,xc_841258,30,131.24,134.68,4,10,1.0
azwmag2,xc:841258,xc_841258,31,134.98,140.39,9,10,1.0
azwmag2,xc:841258,xc_841258,37,149.74,152.81,9,10,1.0
azwmag2,xc:1016671,xc_1016671,16,37.79,38.09,1,4,1.0
azwmag2,xc:1016671,xc_1016671,17,38.67,39.05,1,4,1.0
azwmag2,xc:1016671,xc_1016671,18,39.95,40.3,1,4,1.0
azwmag2,xc:1016671,xc_1016671,19,40.95,41.25,1,4,1.0
azwmag2,xc:1016671,xc_1016671,21,42.36,43.3,2,4,1.0
azwmag2,xc:464622,xc_464622,2,10.45,12.63,6,6,1.0
azwmag2,xc:464622,xc_464622,4,14.33,16.42,6,6,1.0
azwmag2,xc:464622,xc_464622,5,17.88,18.53,2,6,1.0
azwmag2,xc:464622,xc_464622,6,18.97,19.32,1,6,1.0
azwmag2,xc:464622,xc_464622,7,19.75,20.18,1,6,1.0
azwmag2,xc:716117,xc_716117,0,0.13,0.17,1,3,1.0
azwmag2,xc:716117,xc_716117,1,1.65,3.66,3,3,1.0
azwmag2,xc:716117,xc_716117,2,4.31,4.4,1,3,1.0
azwmag2,xc:716117,xc_716117,3,7.84,8.78,2,3,1.0
azwmag2,xc:911230,xc_911230,21,47.94,48.4,3,13,1.0
azwmag2,xc:911230,xc_911230,22,49.27,54.41,10,13,1.0
azwmag2,xc:911230,xc_911230,23,54.83,54.97,1,13,1.0
azwmag2,xc:911230,xc_911230,24,55.65,56.85,1,13,1.0
azwmag2,xc:766304,xc_766304,8,19.75,20.7,2,2,1.0
azwmag2,xc:766304,xc_766304,10,23.31,24.29,4,2,1.0
azwmag2,xc:766304,xc_766304,11,25.18,25.26,1,2,1.0
azwmag2,xc:766304,xc_766304,12,26.59,27.98,4,2,1.0
azwmag2,xc:339213,xc_339213,0,0.02,5.94,10,9,1.0
azwmag2,xc:339213,xc_339213,1,7.19,7.28,1,9,1.0
azwmag2,xc:339213,xc_339213,2,8.37,8.52,1,9,1.0
azwmag2,xc:762197,xc_762197,0,0.02,3.34,6,8,1.0
azwmag2,xc:762197,xc_762197,1,3.78,4.19,1,8,1.0
azwmag2,xc:762197,xc_762197,2,5.47,7.48,3,8,1.0
azwmag2,xc:733333,xc_733333,0,0.02,0.11,1,1,1.0
azwmag2,xc:733333,xc_733333,1,0.65,1.65,1,1,1.0
azwmag2,xc:762197,xc_762197,13,25.22,25.61,1,11,1.0
azwmag2,xc:762197,xc_762197,14,26.07,26.1,1,11,1.0
azwmag2,xc:790248,xc_790248,0,0.04,1.64,5,0,1.0
azwmag2,xc:790248,xc_790248,1,2.61,2.72,1,0,1.0
azwmag2,xc:1058393,xc_1058393,0,0.16,1.19,3,5,1.0
azwmag2,xc:1058393,xc_1058393,1,1.55,8.83,3,5,1.0
azwmag2,xc:911230,xc_911230,0,0.65,2.8,2,14,1.0
barswa,xc:123035,xc_123035,11,18.26,19.1,1,10,1.0
barswa,xc:123035,xc_123035,12,19.75,20.29,1,10,1.0
barswa,xc:123035,xc_123035,22,36.52,37.35,1,10,1.0
barswa,xc:123035,xc_123035,23,37.88,38.3,1,10,1.0
barswa,xc:123035,xc_123035,27,45.57,46.41,1,10,1.0
barswa,xc:191008,xc_191008,3,7.76,8.21,1,7,1.0
barswa,xc:191008,xc_191008,9,17.14,17.47,1,7,1.0
barswa,xc:191008,xc_191008,6,11.77,12.1,1,7,1.0
barswa,xc:191008,xc_191008,4,8.89,9.98,2,7,1.0
barswa,xc:191008,xc_191008,10,18.67,18.89,1,7,1.0
barswa,xc:197400,xc_197400,3,10.47,12.25,3,5,1.0
barswa,xc:919230,xc_919230,2,5.06,5.8,2,4,1.0
barswa,xc:919230,xc_919230,3,6.55,7.56,2,4,1.0
barswa,xc:126103,xc_126103,8,15.53,15.61,1,0,1.0
barswa,xc:126103,xc_126103,9,16.07,16.24,1,0,1.0
barswa,xc:126103,xc_126103,10,17.5,17.58,1,0,1.0
barswa,xc:126103,xc_126103,11,19.18,19.24,1,0,1.0
barswa,xc:126103,xc_126103,12,20.16,20.67,2,0,1.0
barswa,xc:747403,xc_747403,0,0.36,2.88,7,6,1.0
barswa,xc:747403,xc_747403,1,3.93,4.01,1,6,1.0
barswa,xc:747403,xc_747403,2,4.46,4.52,1,6,1.0
barswa,xc:747403,xc_747403,3,5.48,7.53,7,6,1.0
barswa,xc:747403,xc_747403,4,8.07,8.17,1,6,1.0
barswa,xc:197400,xc_197400,0,0.02,2.85,5,5,1.0
barswa,xc:197400,xc_197400,1,3.39,8.85,13,5,1.0
barswa,xc:197400,xc_197400,2,9.45,9.76,1,5,1.0
barswa,xc:193495,xc_193495,3,4.99,5.5,2,2,1.0
barswa,xc:193495,xc_193495,4,5.91,6.0,1,2,1.0
barswa,xc:721365,xc_721365,2,12.0,16.87,1,9,1.0
barswa,xc:919230,xc_919230,4,8.07,8.34,1,4,1.0
barswa,xc:1042324,xc_1042324,0,1.95,2.4,1,3,1.0
barswa,xc:1042324,xc_1042324,1,3.2,3.61,1,3,1.0
barswa,xc:1042324,xc_1042324,2,4.54,6.24,3,3,1.0
barswa,xc:193495,xc_193495,2,4.26,4.65,3,2,1.0
barswa,xc:142731,xc_142731,0,0.06,8.06,1,8,1.0
barswa,xc:721365,xc_721365,3,17.52,24.66,2,9,1.0
barswa,xc:142731,xc_142731,1,8.06,8.92,1,8,1.0
bkfbun2,ml:624172439,ml_624172439,22,15.98,16.05,1,1,1.0
bkfbun2,ml:624172439,ml_624172439,23,16.64,16.69,1,1,1.0
bkfbun2,ml:624172439,ml_624172439,24,17.1,17.18,1,1,1.0
bkfbun2,ml:624172439,ml_624172439,32,23.04,23.09,1,1,1.0
bkfbun2,ml:624172439,ml_624172439,33,23.55,23.61,1,1,1.0
bkfbun2,ml:643676710,ml_643676710,28,102.54,106.4,3,5,1.0
bkfbun2,ml:643676710,ml_643676710,24,85.82,93.81,10,5,1.0
