species_code,recording_id,safe_id,bout_idx,note_idx,note_onset,note_offset,cluster_id,cluster_prob,quality_score
azwmag2,xc:841258,xc_841258,45,8,181.54,181.85,4,0.7634,0.7442
azwmag2,xc:841258,xc_841258,32,0,140.71,141.45,4,0.7941,0.7282
azwmag2,xc:733333,xc_733333,3,0,5.61,6.67,2,1.0,0.7278
azwmag2,xc:841258,xc_841258,5,0,22.22,23.17,4,0.7644,0.7274
azwmag2,xc:733333,xc_733333,10,0,17.39,18.44,2,1.0,0.7271
azwmag2,xc:733333,xc_733333,9,0,13.99,14.96,2,1.0,0.7264
azwmag2,xc:1016671,xc_1016671,11,2,31.44,31.75,3,0.7572,0.7236
azwmag2,xc:1016671,xc_1016671,0,2,2.83,3.3,3,0.9583,0.7235
azwmag2,xc:841258,xc_841258,19,3,89.02,89.51,4,0.8901,0.7225
azwmag2,xc:841258,xc_841258,41,0,165.14,165.81,4,0.8584,0.7194
azwmag2,xc:733333,xc_733333,4,0,8.79,9.78,2,1.0,0.7193
azwmag2,xc:1016671,xc_1016671,10,0,29.37,29.63,3,0.7552,0.7021
azwmag2,xc:1016671,xc_1016671,2,9,13.06,13.47,3,0.9006,0.6999
azwmag2,xc:464622,xc_464622,33,0,86.08,86.39,0,1.0,0.6992
azwmag2,xc:1016671,xc_1016671,2,7,11.68,12.52,3,1.0,0.6971
azwmag2,xc:716117,xc_716117,20,0,68.39,68.72,3,0.6348,0.6777
azwmag2,xc:464622,xc_464622,32,7,83.84,84.2,0,0.9747,0.673
azwmag2,xc:464622,xc_464622,32,3,81.64,81.97,0,1.0,0.6593
azwmag2,xc:464622,xc_464622,33,6,89.54,90.2,0,0.9704,0.6559
azwmag2,xc:464622,xc_464622,32,4,82.2,82.6,0,1.0,0.6529
barswa,xc:123035,xc_123035,120,0,219.34,220.17,5,0.7456,0.7595
barswa,xc:123035,xc_123035,131,0,237.0,237.83,5,1.0,0.759
barswa,xc:123035,xc_123035,110,1,200.01,200.85,5,0.9395,0.7525
barswa,xc:123035,xc_123035,42,0,70.34,71.17,5,1.0,0.7513
barswa,xc:123035,xc_123035,137,0,247.17,248.0,5,1.0,0.7442
barswa,xc:142731,xc_142731,4,0,13.63,19.82,1,1.0,0.7331
barswa,xc:142731,xc_142731,10,0,38.19,44.38,1,1.0,0.7324
barswa,xc:721365,xc_721365,6,0,36.26,39.5,0,1.0,0.7077
barswa,xc:721365,xc_721365,8,1,48.29,50.62,0,1.0,0.6983
barswa,xc:721365,xc_721365,6,1,39.57,42.1,0,1.0,0.6962
barswa,xc:721365,xc_721365,10,0,52.29,56.45,0,1.0,0.6949
barswa,xc:142731,xc_142731,2,0,9.0,12.69,1,1.0,0.6742
barswa,xc:191008,xc_191008,2,2,6.81,7.16,10,1.0,0.658
barswa,xc:191008,xc_191008,25,1,38.1,38.45,10,0.875,0.6382
barswa,xc:191008,xc_191008,7,0,13.37,13.9,10,1.0,0.6367
barswa,xc:191008,xc_191008,6,0,11.77,12.1,10,1.0,0.6299
barswa,xc:919230,xc_919230,10,0,17.2,17.39,8,1.0,0.6251
barswa,xc:919230,xc_919230,3,1,7.37,7.56,8,1.0,0.6248
barswa,xc:919230,xc_919230,9,0,16.17,16.34,8,0.9909,0.6238
barswa,xc:191008,xc_191008,29,0,44.02,44.28,10,1.0,0.623
barswa,xc:919230,xc_919230,1,5,3.63,3.82,8,1.0,0.61
barswa,xc:747403,xc_747403,7,7,15.81,16.3,9,1.0,0.5752
barswa,xc:669362,xc_669362,0,9,4.09,4.42,2,1.0,0.5744
barswa,xc:677842,xc_677842,5,0,7.66,8.21,4,1.0,0.5637
barswa,xc:747403,xc_747403,7,5,14.09,14.27,9,1.0,0.5635
barswa,xc:747403,xc_747403,7,6,14.49,15.68,9,0.9891,0.5616
barswa,xc:747403,xc_747403,7,12,17.8,17.98,9,1.0,0.5594
barswa,xc:193495,xc_193495,20,4,30.95,31.07,6,0.6366,0.5569
barswa,xc:747403,xc_747403,6,5,11.55,11.7,9,0.9601,0.555
barswa,xc:669362,xc_669362,0,3,1.1,1.44,2,0.9414,0.5549
barswa,xc:801549,xc_801549,3,2,13.22,13.69,4,0.9465,0.5538
barswa,xc:669362,xc_669362,0,2,0.67,1.01,2,1.0,0.5535
barswa,xc:669362,xc_669362,1,1,5.27,5.54,2,1.0,0.553
barswa,xc:1042324,xc_1042324,2,0,4.54,4.72,3,1.0,0.5309
barswa,xc:677842,xc_677842,6,3,11.2,11.46,4,1.0,0.5147
barswa,xc:677842,xc_677842,4,1,6.94,7.42,4,1.0,0.5145
barswa,xc:801549,xc_801549,0,5,2.56,2.74,4,0.9465,0.5145
barswa,xc:1042324,xc_1042324,5,0,10.15,10.34,3,1.0,0.5107
barswa,xc:1042324,xc_1042324,5,3,11.13,11.32,3,1.0,0.4714
bkfbun2,ml:640507369,ml_640507369,2,0,8.05,14.61,0,1.0,0.8717
bkfbun2,ml:640507369,ml_640507369,4,1,19.66,23.55,0,0.9193,0.8711
bkfbun2,ml:640507369,ml_640507369,8,0,40.04,44.03,0,0.9881,0.8684
bkfbun2,ml:640507369,ml_640507369,16,0,77.26,80.81,0,1.0,0.8663
bkfbun2,ml:640507369,ml_640507369,7,0,35.13,39.85,0,1.0,0.8658
bkfbun2,ml:620881189,ml_620881189,1,0,6.87,8.66,2,1.0,0.8585
bkfbun2,ml:620266782,ml_620266782,0,2,0.63,1.48,2,1.0,0.8343
bkfbun2,ml:460115891,ml_460115891,3,6,12.71,12.78,4,0.753,0.83
bkfbun2,ml:620881189,ml_620881189,3,0,14.81,17.12,2,0.9616,0.8276
bkfbun2,ml:460115891,ml_460115891,6,0,22.77,22.9,4,0.8765,0.8118
bkfbun2,ml:460115891,ml_460115891,8,2,25.11,25.19,4,0.7756,0.8013
bkfbun2,ml:460115891,ml_460115891,10,3,27.36,27.44,4,0.7331,0.7937
bkfbun2,ml:460115891,ml_460115891,11,0,28.86,28.98,4,0.8765,0.7904
bkfbun2,ml:618203252,ml_618203252,2,0,9.67,12.78,1,0.9955,0.7809
bkfbun2,ml:620266782,ml_620266782,8,2,14.26,14.88,2,0.984,0.772
bkfbun2,ml:620881189,ml_620881189,7,1,33.79,35.67,2,1.0,0.7686
bkfbun2,ml:643676710,ml_643676710,24,6,90.54,91.54,8,0.6708,0.7403
bkfbun2,ml:643676710,ml_643676710,24,5,89.87,90.37,8,0.7727,0.6895
bkfbun2,ml:643676710,ml_643676710,11,1,32.97,34.07,8,0.6708,0.6838
bkfbun2,ml:643676710,ml_643676710,18,1,66.55,68.84,8,0.8709,0.6754
bkfbun2,ml:643676710,ml_643676710,9,0,31.52,31.68,8,0.6919,0.6702
bkfbun2,ml:620266783,ml_620266783,1,0,1.72,2.03,5,0.9935,0.6596
bkfbun2,ml:620266783,ml_620266783,0,3,0.8,1.06,5,1.0,0.6023
bkfbun2,ml:148116611,ml_148116611,9,6,20.94,21.34,7,0.7884,0.5915
bkfbun2,ml:644573777,ml_644573777,7,0,13.39,13.49,6,1.0,0.5912
bkfbun2,ml:644573777,ml_644573777,2,8,3.4,3.49,6,1.0,0.5606
bkfbun2,ml:640988362,ml_640988362,3,2,7.85,8.66,3,1.0,0.5604
bkfbun2,ml:638925272,ml_638925272,6,2,12.58,12.74,8,0.5993,0.5574
bkfbun2,ml:620266782,ml_620266782,6,4,11.67,12.12,5,1.0,0.5516
bkfbun2,ml:637612944,ml_637612944,5,0,21.73,22.98,8,0.5963,0.5505
bkfbun2,ml:640988362,ml_640988362,7,10,20.67,22.35,3,1.0,0.5483
bkfbun2,ml:644573777,ml_644573777,5,12,11.0,11.11,6,1.0,0.5446
bkfbun2,ml:637612944,ml_637612944,0,0,0.02,0.18,8,0.8567,0.5246
bkfbun2,ml:634079834,ml_634079834,8,0,26.79,26.98,7,1.0,0.5203
bkfbun2,ml:148116611,ml_148116611,9,5,20.53,20.74,7,0.7884,0.5185
bkfbun2,ml:148116611,ml_148116611,2,2,5.7,5.98,7,0.7884,0.5178
bkfbun2,ml:640988362,ml_640988362,1,2,2.36,2.53,3,0.9965,0.4948
bkfbun2,ml:634079834,ml_634079834,10,2,29.18,29.29,7,0.915,0.4896
bkfbun2,ml:148116611,ml_148116611,9,4,20.0,20.25,7,0.7884,0.4862
bkfbun2,ml:634079834,ml_634079834,9,0,27.29,27.39,7,0.9724,0.48
bkfbun2,ml:634079834,ml_634079834,10,4,29.64,29.91,7,1.0,0.4679
bkfbun2,ml:634079834,ml_634079834,3,0,14.99,15.14,7,1.0,0.4642
bkhgul,xc:441030,xc_441030,214,3,603.71,603.84,3,0.8196,0.8048
bkhgul,xc:441030,xc_441030,129,9,372.81,373.38,3,0.7307,0.7891
bkhgul,xc:580794,xc_580794,22,3,82.96,84.09,1,0.9797,0.7799
bkhgul,xc:580794,xc_580794,23,3,89.03,91.46,1,0.9797,0.7699
bkhgul,xc:441030,xc_441030,165,0,471.52,472.82,3,0.6948,0.7486
bkhgul,xc:580794,xc_580794,22,2,81.12,82.64,1,0.9797,0.7459
bkhgul,xc:580794,xc_580794,23,1,87.59,88.75,1,0.9797,0.7457
bkhgul,xc:441030,xc_441030,141,1,404.76,404.88,3,0.8761,0.7335
bkhgul,xc:441030,xc_441030,76,4,205.9,206.33,3,0.9081,0.7183
bkhgul,xc:484460,xc_484460,7,0,25.17,28.24,0,0.7727,0.7007
bkhgul,xc:484460,xc_484460,1,1,6.74,7.55,0,0.8247,0.675
bkhgul,xc:484460,xc_484460,1,7,11.09,12.69,0,1.0,0.6717
bkhgul,xc:984595,xc_984595,2,0,4.48,4.64,3,0.8394,0.6712
bkhgul,xc:484460,xc_484460,0,4,3.54,4.86,0,0.8939,0.6702
bkhgul,xc:484460,xc_484460,1,0,5.21,6.54,0,1.0,0.6699
bkhgul,xc:984595,xc_984595,2,1,4.71,4.81,3,0.7649,0.6371
bkhgul,xc:94182,xc_94182,3,1,4.94,5.01,3,0.7578,0.6359
bkhgul,xc:580794,xc_580794,5,1,14.49,14.66,3,0.6987,0.5961
bkhgul,xc:946675,xc_946675,16,0,24.28,24.51,3,0.7621,0.5841
bkhgul,xc:1050112,xc_1050112,2,0,8.72,9.25,3,0.819,0.5782
bkhgul,xc:94182,xc_94182,2,0,3.3,3.5,3,0.807,0.5751
bkhgul,xc:752720,xc_752720,11,0,43.13,43.45,2,0.941,0.5726
bkhgul,xc:752720,xc_752720,7,8,38.99,39.19,2,1.0,0.552
bkhgul,xc:752720,xc_752720,3,3,14.75,18.45,2,0.8881,0.5502
bkhgul,xc:752720,xc_752720,11,6,45.75,46.17,2,0.9086,0.5474
bktgul,xc:840768,xc_840768,38,0,90.35,91.43,4,1.0,0.7584
bktgul,xc:840768,xc_840768,39,0,91.94,92.8,4,1.0,0.7524
