recording_id,ebird_species_code,n_segments,total_duration_sec
xc:464622,azwmag2,194,63.59
xc:194379,azwmag2,3,9.08
xc:790248,azwmag2,18,5.16
xc:716117,azwmag2,42,10.15
xc:720180,azwmag2,23,11.03
xc:729860,azwmag2,11,4.76
xc:820038,azwmag2,13,13.2
xc:682044,azwmag2,1,11.2
xc:911230,azwmag2,139,55.1
xc:1058393,azwmag2,24,20.3
xc:841258,azwmag2,265,133.2
xc:790250,azwmag2,3,3.6
xc:766304,azwmag2,39,7.12
xc:762197,azwmag2,47,12.61
xc:339213,azwmag2,17,10.04
xc:1016671,azwmag2,77,29.6
xc:733333,azwmag2,22,10.16
xc:712021,azwmag2,39,18.5
xc:906845,azwmag2,7,3.35
xc:784889,azwmag2,30,22.85
xc:578054,barswa,11,11.99
xc:747403,barswa,62,10.77
xc:1042324,barswa,41,7.07
xc:677842,barswa,37,16.51
xc:142731,barswa,13,45.56
xc:721365,barswa,22,47.99
xc:664990,barswa,5,25.28
xc:801549,barswa,27,11.33
xc:653439,barswa,19,14.72
xc:511682,barswa,7,17.09
xc:126103,barswa,47,7.61
xc:191008,barswa,69,20.07
xc:123035,barswa,157,119.09
xc:193495,barswa,57,9.09
xc:669362,barswa,25,6.53
xc:206071,barswa,9,6.27
xc:580258,barswa,29,14.02
xc:919230,barswa,53,18.13
xc:197400,barswa,98,34.28
xc:741685,barswa,1,0.39
ml:620881189,bkfbun2,12,8.21
ml:618704340,bkfbun2,52,21.3
ml:634320120,bkfbun2,15,33.97
ml:637612944,bkfbun2,22,19.55
ml:624172439,bkfbun2,66,3.43
ml:640507369,bkfbun2,35,84.33
ml:620266782,bkfbun2,32,8.2
ml:634079834,bkfbun2,60,19.19
ml:620266783,bkfbun2,47,14.15
ml:618203252,bkfbun2,13,13.22
ml:643676710,bkfbun2,111,112.41
ml:638925272,bkfbun2,17,4.1
ml:644573777,bkfbun2,57,6.55
ml:635667093,bkfbun2,15,4.2
ml:640988362,bkfbun2,47,13.37
ml:640507294,bkfbun2,1,8.9
ml:460115891,bkfbun2,99,24.2
ml:637812780,bkfbun2,37,13.8
ml:148116611,bkfbun2,39,11.95
ml:644010084,bkfbun2,14,6.07
xc:580794,bkhgul,85,84.17
xc:752720,bkhgul,78,38.92
