priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
1,brebul1,Hypsipetes amaurotis,ヒヨドリ,0.5111802770833331,593
2,eutspa,Passer montanus,スズメ,0.4390073104166666,3378
3,labcro1,Corvus macrorhynchos,ハシブトガラス,0.4204953458333333,651
4,carcro1,Corvus corone,ハシボソガラス,0.3382326020833334,4052
5,ortdov,Streptopelia orientalis,キジバト,0.33818809375,133
6,cintit13,Parus cinereus,シジュウカラ,0.332087725,462
7,spbduc,Anas zonorhyncha,カルガモ,0.3241578812500001,245
8,whiwag,Motacilla alba,ハクセキレイ,0.3175390270833333,2710
9,graher1,Ardea cinerea,アオサギ,0.3086966166666666,2372
10,grecor,Phalacrocorax carbo,カワウ,0.2743359541666666,325
11,rocpig,Columba livia,カワラバト（ドバト）,0.2621471625,732
12,whcsta1,Spodiopsar cineraceus,ムクドリ,0.2557513145833333,108
13,warwhe1,Zosterops japonicus,メジロ,0.2396650166666667,346
14,blakit1,Milvus migrans,トビ,0.2051017791666667,548
15,greegr,Ardea alba,ダイサギ,0.2039064625,519
16,origre,Chloris sinica,カワラヒワ,0.1929800979166667,164
17,jabwar,Horornis diphone,ウグイス,0.1887084812499999,672
18,litegr,Egretta garzetta,コサギ,0.1864429416666666,659
19,barswa,Hirundo rustica,ツバメ,0.1771617375,3850
20,pygwoo1,Yungipicus kizuki,コゲラ,0.16300080625,217
21,eurcoo,Fulica atra,オオバン,0.1619053083333333,3386
22,mallar3,Anas platyrhynchos,マガモ,0.15625033125,2859
23,litgre1,Tachybaptus ruficollis,カイツブリ,0.1483314604166666,1955
24,gnwtea,Anas crecca,コガモ,0.1443662083333333,1399
25,buhshr1,Lanius bucephalus,モズ,0.1374919124999999,211
26,comkin1,Alcedo atthis,カワセミ,0.1264644312499999,1464
27,dusthr2,Turdus eunomus,ツグミ,0.12468135,100
28,eurwig,Mareca penelope,ヒドリガモ,0.1201405270833333,1053
29,vartit1,Sittiparus varius,ヤマガラ,0.11820464375,142
30,japwag1,Motacilla grandis,セグロセキレイ,0.1177762083333333,116
31,meabun1,Emberiza cioides,ホオジロ,0.1151743333333333,188
32,lottit1,Aegithalos caudatus,エナガ,0.1056356833333333,4644
33,bkfbun2,Emberiza personata,アオジ,0.10041285,167
34,daured1,Phoenicurus auroreus,ジョウビタキ,0.0964737416666666,182
35,comsan,Actitis hypoleucos,イソシギ,0.08723135625,2397
36,burthr,Monticola solitarius,イソヒヨドリ,0.0867343770833333,332
37,grywag,Motacilla cinerea,キセキレイ,0.07836755,1377
38,tufduc,Aythya fuligula,キンクロハジロ,0.0763023208333333,300
39,bktgul,Larus crassirostris,ウミネコ,0.0730928875,107
40,compoc,Aythya ferina,ホシハジロ,0.0694781958333333,169
41,palthr1,Turdus pallidus,シロハラ,0.0633446708333333,185
42,norsho,Spatula clypeata,ハシビロガモ,0.0608121541666666,315
43,norpin,Anas acuta,オナガガモ,0.0594276354166666,298
44,osprey,Pandion haliaetus,ミサゴ,0.0588428124999999,1625
45,skylar,Alauda arvensis,ヒバリ,0.058493975,6907
46,grcgre1,Podiceps cristatus,カンムリカイツブリ,0.0579243958333333,587
47,gadwal,Mareca strepera,オカヨシガモ,0.0506056854166666,780
48,azwmag2,Cyanopica cyanus,オナガ,0.0482854812499999,308
49,bkhgul,Chroicocephalus ridibundus,ユリカモメ,0.0476338979166666,2092
50,zitcis1,Cisticola juncidis,セッカ,0.0454060791666666,1749
51,commoo3,Gallinula chloropus,バン,0.0451080583333333,3157
52,grswoo,Dendrocopos major,アカゲラ,0.0443528458333333,6855
53,combuz6,Buteo japonicus,ノスリ,0.0431228458333333,56
54,slbgul,Larus schistisagus,オオセグロカモメ,0.0410551291666666,58
55,melthr,Garrulax canorus,ガビチョウ,0.0406959124999999,355
56,lirplo,Charadrius dubius,コチドリ,0.0396682479166666,1333
57,narfly2,Ficedula narcissina,キビタキ,0.0394408854166666,140
58,coatit2,Periparus ater,ヒガラ,0.0393377604166666,5721
59,gresca,Aythya marila,スズガモ,0.0378584499999999,73
60,eurjay1,Garrulus glandarius,カケス,0.0370225270833333,5080
61,hawfin,Coccothraustes coccothraustes,シメ,0.0360133687499999,2820
62,rinphe2,Phasianus versicolor,キジ,0.0350995,58
63,eurnut2,Sitta europaea,ゴジュウカラ,0.0339396166666666,7458
64,bcnher,Nycticorax nycticorax,ゴイサギ,0.0331261874999999,1706
65,ashmar1,Delichon dasypus,イワツバメ,0.0297364374999999,224
66,japwoo1,Picus awokera,アオゲラ,0.0295078229166666,107
67,orrwar1,Acrocephalus orientalis,オオヨシキリ,0.0294984666666666,424
68,eurkes,Falco tinnunculus,チョウゲンボウ,0.0282455437499999,1520
69,gyttat1,Tringa brevipes,キアシシギ,0.0245324416666666,275
70,amepip,Anthus rubescens,タヒバリ,0.02427155,417
71,martit2,Poecile palustris,ハシブトガラ,0.0241734854166666,3521
72,chbpar3,Bambusicola thoracicus,コジュケイ,0.0236241083333333,348
73,japgro1,Eophona personata,イカル,0.0234761,139
74,commer,Mergus merganser,カワアイサ,0.0226057645833333,255
75,reebun,Emberiza schoeniclus,オオジュリン,0.0214304958333333,2745
76,refblu1,Tarsiger cyanurus,ルリビタキ,0.0213269458333333,371
