recording_id,ebird_species_code,n_segments,total_duration_sec
xc:464622,azwmag2,178,58.88
xc:194379,azwmag2,11,6.3
xc:790248,azwmag2,12,4.66
xc:716117,azwmag2,58,17.6
xc:720180,azwmag2,14,6.38
xc:578054,barswa,12,11.06
xc:747403,barswa,62,10.51
xc:1042324,barswa,45,8.42
xc:677842,barswa,57,12.64
xc:142731,barswa,23,41.71
ml:620881189,bkfbun2,16,8.59
ml:618704340,bkfbun2,49,20.95
ml:634320120,bkfbun2,67,20.01
ml:637612944,bkfbun2,47,8.22
ml:624172439,bkfbun2,78,5.16
xc:580794,bkhgul,76,72.44
xc:752720,bkhgul,120,28.79
xc:1065402,bkhgul,21,5.69
xc:1050112,bkhgul,15,3.7
xc:525320,bkhgul,10,7.06
xc:627390,bktgul,70,18.86
xc:903942,bktgul,7,3.0
xc:1016634,bktgul,44,19.81
xc:344933,bktgul,28,7.72
xc:344932,bktgul,9,2.67
xc:493737,blakit1,129,54.08
xc:507829,blakit1,6,3.79
xc:628280,blakit1,9,6.0
xc:1026906,blakit1,97,44.25
xc:896543,blakit1,4,1.51
xc:155867,brebul1,77,24.2
xc:551619,brebul1,20,12.94
xc:466085,brebul1,4,3.11
xc:200439,brebul1,192,92.15
xc:784921,brebul1,24,10.6
xc:194695,buhshr1,8,5.68
xc:88961,buhshr1,7,2.98
xc:793926,buhshr1,12,18.52
xc:842854,buhshr1,30,31.35
xc:505447,buhshr1,4,3.35
xc:134325,burthr,100,89.62
xc:1023727,burthr,112,51.91
xc:697948,burthr,16,8.57
xc:921485,burthr,4,2.31
xc:472199,burthr,154,51.02
xc:785592,carcro1,31,12.49
xc:511980,carcro1,26,8.87
xc:688118,carcro1,26,16.71
xc:745101,carcro1,208,60.92
xc:635134,carcro1,7,2.04
xc:1030710,cintit13,22,11.09
xc:582929,cintit13,72,52.14
xc:531958,cintit13,25,10.04
xc:319792,cintit13,37,15.76
xc:166690,cintit13,37,7.72
xc:462875,comkin1,42,13.11
xc:502269,comkin1,40,9.74
xc:931189,comkin1,8,4.71
xc:800955,comkin1,38,17.32
xc:929047,comkin1,21,4.55
xc:797798,compoc,42,10.75
xc:570725,compoc,18,1.99
xc:484893,compoc,26,9.7
xc:783964,compoc,89,28.52
xc:994657,compoc,64,11.4
xc:932836,comsan,8,1.77
xc:599571,comsan,5,4.5
xc:743065,comsan,33,9.79
xc:671980,comsan,43,26.35
xc:894340,comsan,9,1.8
xc:113350,daured1,62,17.31
xc:790686,daured1,64,19.15
xc:977650,daured1,96,13.05
xc:835735,daured1,15,17.57
xc:194873,daured1,5,37.87
xc:811955,dusthr2,12,6.43
xc:979887,dusthr2,27,4.29
xc:696346,dusthr2,13,2.68
xc:893034,dusthr2,121,45.67
xc:708761,dusthr2,84,23.47
xc:357835,eurcoo,85,24.22
xc:631503,eurcoo,13,20.95
xc:902431,eurcoo,96,21.3
xc:825928,eurcoo,112,15.74
xc:551713,eurcoo,2,0.1
xc:706792,eurwig,7,1.19
xc:702702,eurwig,12,2.91
xc:894419,eurwig,23,2.6
xc:706795,eurwig,13,3.56
xc:1051756,eurwig,24,7.3
xc:381814,eutspa,77,15.07
xc:936174,eutspa,203,33.46
xc:185713,eutspa,148,34.07
xc:164536,eutspa,179,36.08
xc:341173,eutspa,50,12.42
xc:651967,gadwal,167,35.49
xc:548049,gadwal,48,14.09
xc:963992,gadwal,35,8.5
xc:284792,gadwal,10,5.15
xc:1021736,gadwal,12,2.49
xc:977018,gnwtea,5,2.12
xc:533237,gnwtea,101,22.99
xc:280945,gnwtea,34,17.06
xc:774518,gnwtea,3,10.83
xc:309109,gnwtea,32,16.29
xc:941740,graher1,13,2.45
xc:1027522,graher1,2,0.44
xc:988147,graher1,14,6.41
xc:760232,graher1,4,2.16
xc:781315,graher1,36,9.04
xc:473226,grcgre1,8,4.41
xc:252268,grcgre1,47,12.49
xc:636568,grcgre1,60,22.45
xc:462953,grcgre1,16,3.46
xc:897021,grcgre1,6,4.04
xc:839104,grecor,11,3.41
xc:987714,grecor,36,14.55
xc:448710,grecor,32,8.1
xc:308865,grecor,231,78.2
xc:372106,grecor,220,90.95
xc:561777,greegr,8,1.83
xc:161280,greegr,216,61.07
xc:454182,greegr,21,6.95
xc:1005363,greegr,13,4.68
xc:285219,greegr,16,6.44
xc:386848,grywag,7,4.71
xc:432286,grywag,52,38.0
xc:485891,grywag,19,5.61
xc:324350,grywag,65,18.92
xc:767548,grywag,31,11.82
xc:285821,jabwar,9,11.15
xc:697521,jabwar,27,7.91
xc:410204,jabwar,1,0.56
xc:27362,jabwar,34,16.11
xc:34404,jabwar,25,10.96
xc:294783,japwag1,1,1.02
xc:527476,japwag1,9,3.76
xc:841046,japwag1,33,10.51
xc:532311,japwag1,6,2.34
xc:704676,japwag1,27,6.54
xc:811530,labcro1,38,20.57
xc:824065,labcro1,79,49.32
xc:350538,labcro1,17,11.68
xc:307471,labcro1,7,3.63
xc:811821,labcro1,71,30.08
xc:481452,litegr,6,2.29
xc:779145,litegr,12,4.52
xc:333966,litegr,69,16.01
xc:748297,litegr,27,5.07
xc:333874,litegr,38,9.81
xc:804879,litgre1,9,1.62
xc:900716,litgre1,6,0.37
xc:380340,litgre1,60,13.04
xc:827756,litgre1,6,2.13
xc:923292,litgre1,1,0.29
xc:463643,lottit1,57,36.28
xc:354434,lottit1,58,11.49
xc:759683,lottit1,149,45.35
xc:708449,lottit1,99,28.28
xc:502966,lottit1,13,10.5
xc:846028,mallar3,23,5.27
xc:779764,mallar3,12,6.13
xc:630299,mallar3,3,3.98
xc:879568,mallar3,17,4.24
xc:631555,mallar3,20,10.14
xc:23968,meabun1,73,28.74
xc:491232,meabun1,23,11.1
xc:1018429,meabun1,94,32.48
xc:282181,meabun1,17,7.41
xc:626398,meabun1,33,6.29
xc:733153,norpin,58,13.17
xc:972654,norpin,50,20.92
xc:971856,norpin,22,7.44
xc:615278,norpin,19,6.66
xc:463194,norpin,4,4.41
xc:974364,norsho,6,0.58
xc:712354,norsho,9,2.94
xc:501879,norsho,234,56.5
xc:617375,norsho,150,32.92
xc:586812,norsho,12,4.31
xc:286288,origre,11,5.5
xc:992580,origre,231,71.28
xc:451340,origre,63,15.38
xc:285949,origre,57,29.04
xc:872882,origre,28,19.54
xc:473070,ortdov,24,12.03
xc:751150,ortdov,165,44.6
xc:955876,ortdov,10,11.75
xc:657028,ortdov,79,13.08
xc:327475,ortdov,76,62.31
xc:511013,osprey,84,16.73
xc:465294,osprey,82,22.2
xc:694232,osprey,47,10.99
xc:272312,osprey,98,30.51
xc:588910,osprey,65,47.67
xc:758275,palthr1,34,14.65
xc:772404,palthr1,15,5.71
xc:707803,palthr1,150,64.63
xc:652386,palthr1,137,29.35
xc:780155,palthr1,2,6.22
xc:191044,pygwoo1,1,1.54
xc:267398,pygwoo1,110,35.09
xc:285634,pygwoo1,7,4.02
xc:267395,pygwoo1,9,3.92
xc:285907,pygwoo1,11,7.67
xc:349161,rocpig,39,19.0
xc:269761,rocpig,39,26.67
xc:488175,rocpig,29,19.0
xc:621266,rocpig,25,47.61
xc:380349,rocpig,9,11.52
xc:949909,skylar,23,11.71
xc:975229,skylar,95,105.95
xc:180733,skylar,19,77.79
xc:627311,skylar,116,152.46
xc:704675,skylar,17,12.87
xc:803917,spbduc,36,10.31
xc:992583,spbduc,207,36.92
xc:920581,spbduc,72,9.3
xc:266814,spbduc,12,4.14
xc:414277,spbduc,208,74.56
xc:280915,tufduc,27,19.79
xc:76445,tufduc,13,5.74
xc:792843,tufduc,25,10.73
xc:488129,tufduc,3,1.07
xc:810555,tufduc,33,11.2
xc:882175,vartit1,186,39.67
xc:998735,vartit1,48,27.05
xc:790852,vartit1,10,14.04
xc:871190,vartit1,85,63.67
xc:843770,vartit1,30,17.35
xc:69779,warwhe1,24,9.85
xc:155881,warwhe1,134,42.37
xc:617434,warwhe1,238,122.85
xc:219961,warwhe1,72,40.52
xc:287972,warwhe1,100,64.33
xc:790703,whcsta1,247,97.48
xc:333014,whcsta1,61,15.48
xc:574136,whcsta1,28,7.3
xc:824056,whcsta1,29,11.21
xc:810042,whcsta1,15,5.3
xc:212874,whiwag,33,12.23
xc:332116,whiwag,26,9.37
xc:944139,whiwag,57,23.67
xc:201954,whiwag,26,8.04
xc:617835,whiwag,10,2.39
xc:476911,zitcis1,121,30.32
xc:753226,zitcis1,142,28.63
xc:301756,zitcis1,58,24.39
xc:359154,zitcis1,36,9.67
